timestamp,cpu_percent,arm_mhz,core_mhz,h264_mhz,isp_mhz,v3d_mhz,uart_mhz,pwm_mhz,emmc_mhz,pixel_mhz,vec_mhz,hdmi_mhz,dpi_mhz,arm_temp,core_volt,sdram_c_volt,sdram_i_volt,sdram_p_volt,3V7_WL_SW_A,3V3_SYS_A,1V8_SYS_A,DDR_VDD2_A,DDR_VDDQ_A,1V1_SYS_A,0V8_SW_A,VDD_CORE_A,3V3_DAC_A,3V3_ADC_A,0V8_AON_A,HDMI_A,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,readmr_4,readmr_5,readmr_6,readmr_8,throttle_hex,UV,ArmFreqCap,CurThrottle,SoftTempLimit,UV_occured,ArmFreqCap_occured,Throttle_occured,SoftTempLimit_occured
2026-04-14 10:51:15,0.0,1500,500,,500,500,44,,200,,,648,,58.7,0.7200,0.6000,0.6000,1.1000,0.00000000,0.09759300,0.16200440,0.00487965,0.00000000,0.20592120,0.34645520,1.00016000,0.00000000,0.00000000,0.00317460,0.02429790,3.60883600,3.31003300,1.80121900,1.10805800,0.60549390,1.10439400,0.80292960,0.72178200,3.31501500,3.31684600,0.80029220,5.04778000,5.03974000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:17,0.2,1500,500,,500,500,43,,200,,,648,,57.6,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10149670,0.16200440,0.00683151,0.00000000,0.20299340,0.34547920,0.99122990,0.00000000,0.00000000,0.00299145,0.02405370,3.59213300,3.30910500,1.80073100,1.10769100,0.60292980,1.10805800,0.80073180,0.72231920,3.31684600,3.31684600,0.80058540,5.04108000,5.04778000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:19,0.0,1500,500,,500,500,43,,200,,,648,,58.2,0.7200,0.6000,0.6000,1.1000,0.00000000,0.09954486,0.16200440,0.00585558,0.00000000,0.20299340,0.34645520,0.98229990,0.00000000,0.00000000,0.00305250,0.02454210,3.57728600,3.30817700,1.80170800,1.10439400,0.60586020,1.10769100,0.80073180,0.72205060,3.31593100,3.31684600,0.79999920,4.99552000,5.00892000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:21,3.8,2000,910,,910,960,44,,200,,,648,,58.7,0.8763,0.6000,0.6000,1.1000,0.00000000,0.09856894,0.16786000,0.00683151,0.00000000,0.20396940,0.34645520,1.51810000,0.00000000,0.00000000,0.00299145,0.02454210,3.58099800,3.30724900,1.80024200,1.10732500,0.59963310,1.10732500,0.80073180,0.88349120,3.31684600,3.31593100,0.79999920,4.99284000,4.97274000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:24,3.3,2000,910,,910,960,44,,200,,,648,,59.3,0.8763,0.6000,0.6000,1.1000,0.00000000,0.09759300,0.16883590,0.00780744,0.00000000,0.20689720,0.34450330,1.53596000,0.00000000,0.00000000,0.00311355,0.02442000,3.59770100,3.30910500,1.80268400,1.11172000,0.60622650,1.10695900,0.80183080,0.88349120,3.31593100,3.31684600,0.79999920,4.98346000,4.97140000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:26,0.0,2000,910,,910,960,44,,200,,,648,,60.4,0.8763,0.6000,0.6000,1.1000,0.00000000,0.10052080,0.16688400,0.00487965,0.00000000,0.20396940,0.45966300,1.55382000,0.00000000,0.00000000,0.00286935,0.02454210,3.60419700,3.30910500,1.80170800,1.10695900,0.60549390,1.11062200,0.80073180,0.88349120,3.31593100,3.31684600,0.79999920,5.01964000,5.01830000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:28,2.0,2000,910,,910,960,44,,200,,,648,,59.3,0.8763,0.6000,0.6000,1.1000,0.00000000,0.09759300,0.16883590,0.00487965,0.00000000,0.20592120,0.34450330,1.52703000,0.00000000,0.00000000,0.00311355,0.02405370,3.57635800,3.30817700,1.80170800,1.10695900,0.60622650,1.11062200,0.80219700,0.88349120,3.31776200,3.31776200,0.80029220,4.98346000,4.97274000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:30,0.0,2000,910,,910,960,44,,200,,,648,,60.9,0.8763,0.6000,0.6000,1.1000,0.00000000,0.10442450,0.16883590,0.00878337,0.00000000,0.20494530,0.34450330,1.54489000,0.00000000,0.00000000,0.00299145,0.02429790,3.57914200,3.31003300,1.80073100,1.10695900,0.60512760,1.11062200,0.80219700,0.88349120,3.31684600,3.31776200,0.79999920,4.98480000,4.97542000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:32,0.0,1500,500,,500,500,44,,200,,,648,,59.3,0.7200,0.6000,0.6000,1.1000,0.00000000,0.09954486,0.16395620,0.00780744,0.00000000,0.20592120,0.34547920,1.02695000,0.00000000,0.00000000,0.00286935,0.02429790,3.60419700,3.31096100,1.80073100,1.11355200,0.60512760,1.10439400,0.80073180,0.72205060,3.31593100,3.31684600,0.80029220,5.00222000,5.00624000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-14 10:51:34,0.0,2000,910,,910,960,44,,200,,,648,,59.8,0.8763,0.6000,0.6000,1.1000,0.00000000,0.09759300,0.16688400,0.00780744,0.00000000,0.20689720,0.34352740,1.55382000,0.00000000,0.00000000,0.00311355,0.02454210,3.60234100,3.31003300,1.80121900,1.10879000,0.60586020,1.10988900,0.80036550,0.88375980,3.31684600,3.31776200,0.80029220,5.01830000,5.01428000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
