timestamp,cpu_percent,arm_mhz,core_mhz,h264_mhz,isp_mhz,v3d_mhz,uart_mhz,pwm_mhz,emmc_mhz,pixel_mhz,vec_mhz,hdmi_mhz,dpi_mhz,arm_temp,core_volt,sdram_c_volt,sdram_i_volt,sdram_p_volt,3V7_WL_SW_A,3V3_SYS_A,1V8_SYS_A,DDR_VDD2_A,DDR_VDDQ_A,1V1_SYS_A,0V8_SW_A,VDD_CORE_A,3V3_DAC_A,3V3_ADC_A,0V8_AON_A,HDMI_A,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,readmr_4,readmr_5,readmr_6,readmr_8,throttle_hex,UV,ArmFreqCap,CurThrottle,SoftTempLimit,UV_occured,ArmFreqCap_occured,Throttle_occured,SoftTempLimit_occured
2026-04-08 18:41:45,25.0,2000,910,,910,960,44,,200,,,648,,59.3,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08880963,0.16981180,0.00292779,0.00000000,0.18152300,0.34645520,2.21464000,0.00000000,0.00000000,0.00293040,0.02527470,3.64688300,3.30632200,1.80121900,1.10769100,0.60512760,1.11062200,0.80183080,0.88295390,3.31501500,3.31684600,0.79970620,5.09602000,5.09736000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:41:47,25.0,2000,910,,910,960,44,,200,,,648,,57.6,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08978556,0.16883590,0.00585558,0.00000000,0.17761930,0.34450330,2.22357000,0.00000000,0.00000000,0.00286935,0.02539680,3.64873800,3.30724900,1.80121900,1.10769100,0.60586020,1.11172000,0.80073180,0.88322260,3.31501500,3.31684600,0.79970620,5.09200000,5.09200000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:41:49,25.8,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08783370,0.16688400,0.00487965,0.00000000,0.18054710,0.34255140,2.22357000,0.00000000,0.00000000,0.00311355,0.02490840,3.64688300,3.30817700,1.80121900,1.10659200,0.60476130,1.11098800,0.79926660,0.88375980,3.31501500,3.31593100,0.79999920,5.09736000,5.09468000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:41:51,25.0,2000,910,,910,960,44,,200,,,648,,58.2,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08588185,0.16786000,0.00585558,0.00000000,0.17859520,0.34547920,2.22357000,0.00000000,0.00000000,0.00323565,0.02478630,3.64595500,3.30724900,1.80219600,1.11062200,0.60622650,1.10769100,0.79926660,0.88349120,3.31593100,3.31501500,0.80058540,5.09602000,5.09200000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:41:53,26.5,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08295405,0.16981180,0.00487965,0.00000000,0.18933040,0.34743110,2.22357000,0.00000000,0.00000000,0.00341880,0.02490840,3.64409900,3.31003300,1.80024200,1.11208700,0.60512760,1.11062200,0.80036550,0.88322260,3.31684600,3.31684600,0.80029220,5.09736000,5.09736000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:41:56,25.0,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08880963,0.16590810,0.00487965,0.00000000,0.17761930,0.34450330,2.23250000,0.00000000,0.00000000,0.00366300,0.02539680,3.64688300,3.30910500,1.80121900,1.11025500,0.60512760,1.10366200,0.80183080,0.88349120,3.31501500,3.31684600,0.79970620,5.09602000,5.09066000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:41:58,25.4,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08978556,0.17078780,0.00780744,0.00000000,0.19323410,0.34645520,2.21464000,0.00000000,0.00000000,0.00286935,0.02527470,3.64595500,3.30817700,1.80073100,1.10769100,0.60476130,1.10439400,0.80036550,0.88349120,3.31593100,3.31684600,0.80058540,5.10004000,5.09468000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:42:00,25.0,2000,910,,910,960,44,,200,,,648,,59.8,0.8792,0.6000,0.6000,1.1000,0.06148359,0.08392998,0.16883590,0.00878337,0.00000000,0.17859520,0.34450330,3.15229000,0.00000000,0.00000000,0.00299145,0.02490840,3.62646800,3.30910500,1.80024200,1.10732500,0.59926680,1.10439400,0.80073180,0.88295390,3.31684600,3.31776200,0.80029220,5.05046000,5.11210000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:42:02,25.0,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.06538731,0.09076149,0.16786000,0.00585558,0.00000000,0.18933040,0.34645520,2.23250000,0.00000000,0.00000000,0.00280830,0.02478630,3.63574700,3.31096100,1.80121900,1.10879000,0.60512760,1.10439400,0.80292960,0.88349120,3.31593100,3.31684600,0.80058540,5.09066000,5.08262000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:42:04,26.5,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08685777,0.16883590,0.00390372,0.00000000,0.17859520,0.34255140,2.24143000,0.00000000,0.00000000,0.00323565,0.02466420,3.64502700,3.30724900,1.79877700,1.11062200,0.60622650,1.10439400,0.80879040,0.88375980,3.31409900,3.31593100,0.80058540,5.09200000,5.09200000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:42:06,25.0,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08783370,0.16981180,0.00683151,0.00000000,0.17859520,0.34450330,2.22357000,0.00000000,0.00000000,0.00286935,0.02527470,3.64688300,3.30632200,1.80219600,1.11062200,0.60476130,1.11172000,0.80292960,0.88349120,3.31593100,3.31593100,0.79999920,5.09200000,5.09200000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:42:08,25.0,2000,910,,910,960,44,,200,,,648,,58.7,0.8792,0.6000,0.6000,1.1000,0.00000000,0.08588185,0.16688400,0.01073523,0.00000000,0.17957110,0.34352740,2.23250000,0.00000000,0.00000000,0.00329670,0.02527470,3.64502700,3.30632200,1.80024200,1.10805800,0.60805800,1.11135400,0.79926660,0.88375980,3.31684600,3.31776200,0.80029220,5.09736000,5.09066000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-08 18:42:10,25.0,2000,910,,910,960,44,,200,,,648,,59.8,0.8792,0.6000,0.6000,1.1000,0.00000000,0.09173742,0.16883590,0.00878337,0.00000000,0.19030640,0.34547920,2.23250000,0.00000000,0.00000000,0.00335775,0.02454210,3.64873800,3.30817700,1.80073100,1.11355200,0.60476130,1.11025500,0.80292960,0.88349120,3.31593100,3.31684600,0.80029220,5.09602000,5.09200000,0.00000000, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
