,count,mean,std,min,1%,5%,50%,95%,99%,max
cpu_percent,580.0,0.08137931034482758,0.7396013683242868,0.0,0.0,0.0,0.0,0.2,1.2210000000000036,11.2
arm_mhz,580.0,1512.9310344827586,105.24268558619322,1500.0,1500.0,1500.0,1500.0,1500.0,2400.0,2400.0
core_mhz,580.0,505.88793103448273,47.94152518242763,500.0,500.0,500.0,500.0,500.0,910.0,910.0
h264_mhz,0.0,,,,,,,,,
isp_mhz,580.0,505.88793103448273,47.94152518242763,500.0,500.0,500.0,500.0,500.0,910.0,910.0
v3d_mhz,580.0,506.6086206896552,53.7902302654931,500.0,500.0,500.0,500.0,500.0,960.0,960.0
uart_mhz,580.0,43.860344827586204,0.34692812073635065,43.0,43.0,43.0,44.0,44.0,44.0,44.0
pwm_mhz,0.0,,,,,,,,,
emmc_mhz,580.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
pixel_mhz,0.0,,,,,,,,,
vec_mhz,0.0,,,,,,,,,
hdmi_mhz,580.0,648.0,0.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
dpi_mhz,0.0,,,,,,,,,
arm_temp,580.0,52.152931034482755,0.8754027124014169,49.9,50.5,51.0,52.1,53.2,54.426000000000016,56.5
core_volt,580.0,0.7224731034482756,0.020930038095277406,0.72,0.72,0.72,0.72,0.72,0.8993,0.8993
sdram_c_volt,580.0,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_i_volt,580.0,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_p_volt,580.0,1.0999999999999999,2.2223627056704073e-16,1.1,1.1,1.1,1.1,1.1,1.1,1.1
3V7_WL_SW_A,580.0,0.020844518689655173,0.024520865481077868,0.0,0.0,0.0,0.00195186,0.054700876499999954,0.06364039530000004,0.07221882
3V3_SYS_A,580.0,0.07470071320689656,0.010871123259148302,0.06733918,0.06733918,0.06929103,0.07221882,0.08685777,0.11854621500000025,0.1805471
