,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,cpu_percent,arm_temp,3V3_SYS_A,1V8_SYS_A,VDD_CORE_A
3V7_WL_SW_V,1.0,0.07525353867666605,0.22195696510455876,0.021269974388682774,0.13888102307691208,0.1914280620742706,0.15467045626916515,-0.31481751767767363,-0.004588084766157465,-0.015595448678677182,0.020612321601758438,0.2856875500512284,0.28296190596904436,-0.04912229615753767,-0.13503875032497453,-0.3166646857808496,-0.236793402049189,-0.21242482121721407,-0.3530238942023987
3V3_SYS_V,0.07525353867666605,1.0,0.0760209505905015,0.0006388640543305536,-0.05737484149747892,0.024596792007682926,-0.024478851205563628,-0.05665971908884151,-0.02768163411065253,0.006735018129678854,0.06945015931224176,-0.015294303251230247,0.01508366831039683,0.03527924207403063,-0.05631903499879849,-0.02116216692844353,-0.09482192695441304,-0.1999840469422716,-0.03262990292054715
1V8_SYS_V,0.22195696510455876,0.0760209505905015,1.0,0.016765332280977818,0.025799167521603387,0.03321100165132539,0.061378673004011675,-0.47686662574005956,0.07829711552787476,0.024827394621733834,0.09806339957332669,0.18034207236317987,0.18552732350666493,0.01571553809719671,-0.11889473808062483,-0.17553596742184058,0.03178270318657504,-0.2003097142027665,-0.4185023399154183
DDR_VDD2_V,0.021269974388682774,0.0006388640543305536,0.016765332280977818,1.0,0.007969327646196069,0.03133905603671069,0.0548298752984286,-0.002496925204047379,-0.025884037527018438,-0.044433234994503204,-0.019496469457931733,0.04884724970716922,-0.03734198028940882,-0.04808657833267004,-0.006905887036339076,-0.058323811352178394,-0.051791650166309364,-0.07093133501268502,-0.015066736258822778
DDR_VDDQ_V,0.13888102307691208,-0.05737484149747892,0.025799167521603387,0.007969327646196069,1.0,0.29608032785281785,0.28127577471123877,-0.03053215117787388,0.027144752263778858,0.014381145600467472,0.04278723142262653,0.3558280904969961,0.29229012174247454,0.12730419554825498,-0.06317614128208807,-0.07373141981733154,-0.2695494364715742,0.050504884032962945,-0.09199640957142026
1V1_SYS_V,0.1914280620742706,0.024596792007682926,0.03321100165132539,0.03133905603671069,0.29608032785281785,1.0,0.3708931488096289,-0.08893143707194275,0.0522693333343994,-0.05691498114652927,0.03519852610515885,0.3419457017726711,0.2926591130829691,0.0707480479130046,-0.15762506385042307,-0.24342030871078385,-0.40526198144998793,-0.03741687939925568,-0.1173134646823213
0V8_SW_V,0.15467045626916515,-0.024478851205563628,0.061378673004011675,0.0548298752984286,0.28127577471123877,0.3708931488096289,1.0,-0.04567746266790674,0.07719228838587139,0.07512870816621764,-0.009737543064016486,0.32347836362816523,0.26515357304923887,0.009650277668955575,-0.16095378723671092,-0.17149283750272173,-0.3709828604237298,0.003086087816629841,-0.05989920253975995
VDD_CORE_V,-0.31481751767767363,-0.05665971908884151,-0.47686662574005956,-0.002496925204047379,-0.03053215117787388,-0.08893143707194275,-0.04567746266790674,1.0,-0.11918257580939212,-0.010340895161589009,-0.15305735757762431,-0.39405407208303994,-0.3946206630808873,-0.05823583515000116,0.27859684923845984,0.4673969410801575,0.03556526683785945,0.43473375699616834,0.8497824959526096
3V3_DAC_V,-0.004588084766157465,-0.02768163411065253,0.07829711552787476,-0.025884037527018438,0.027144752263778858,0.0522693333343994,0.07719228838587139,-0.11918257580939212,1.0,0.012805882328625139,0.08684498246363344,0.08895200025877154,-0.0031415109629715425,0.06656208968938683,-0.046774256609706986,-0.07772677338774472,0.04229284372865003,-0.010940926924197203,-0.11544788924961419
3V3_ADC_V,-0.015595448678677182,0.006735018129678854,0.024827394621733834,-0.044433234994503204,0.014381145600467472,-0.05691498114652927,0.07512870816621764,-0.010340895161589009,0.012805882328625139,1.0,-0.00737154976760446,0.1483795675137776,0.034062418844988125,0.07026211901183717,0.029351206859558932,-0.005654972342480134,-0.037092355045199976,-0.06392070006831813,-0.013039223537703952
0V8_AON_V,0.020612321601758438,0.06945015931224176,0.09806339957332669,-0.019496469457931733,0.04278723142262653,0.03519852610515885,-0.009737543064016486,-0.15305735757762431,0.08684498246363344,-0.00737154976760446,1.0,0.1420944251393682,0.021050088919350354,0.031895979535977316,-0.0706922811028467,-0.08544802194351409,-0.0096157111177405,-0.08263866314043732,-0.1337374100030345
HDMI_V,0.2856875500512284,-0.015294303251230247,0.18034207236317987,0.04884724970716922,0.3558280904969961,0.3419457017726711,0.32347836362816523,-0.39405407208303994,0.08895200025877154,0.1483795675137776,0.1420944251393682,1.0,0.4915651936992205,0.09725627663224372,-0.2574969494464747,-0.33007108903981563,-0.34225785497811195,-0.23086498750420123,-0.45791876656771097
EXT5V_V,0.28296190596904436,0.01508366831039683,0.18552732350666493,-0.03734198028940882,0.29229012174247454,0.2926591130829691,0.26515357304923887,-0.3946206630808873,-0.0031415109629715425,0.034062418844988125,0.021050088919350354,0.4915651936992205,1.0,0.08935884448419464,-0.2912719725833902,-0.31279950222226865,-0.32055061267903995,-0.19837012689001657,-0.4697035908271373
BATT_V,-0.04912229615753767,0.03527924207403063,0.01571553809719671,-0.04808657833267004,0.12730419554825498,0.0707480479130046,0.009650277668955575,-0.05823583515000116,0.06656208968938683,0.07026211901183717,0.031895979535977316,0.09725627663224372,0.08935884448419464,1.0,0.012932757850897354,0.13280640311846315,-0.08963499938515017,-0.06931940983594417,-0.04698146694342505
