Time_Human,Time_Unix_ms,Current_A,Voltage_V,Temp_HW_C
14:54:52.523,1775764492523,1,5.1,62
14:55:02.560,1775764502560,1.02,5.1,63.8
14:55:12.763,1775764512763,1.03,5.102,66.6
14:55:25.043,1775764525043,1.08,5.09,68.2
14:55:33.145,1775764533145,1.04,5.1,69
14:55:40.947,1775764540947,1.04,5.09,69.9
14:55:51.353,1775764551353,1.05,5.09,71.1
14:56:01.507,1775764561507,1.05,5.09,72
14:56:09.342,1775764569342,1.05,5.09,72.9
14:56:18.131,1775764578131,1.06,5.097,73.3
14:56:28.768,1775764588768,1.03,5.09,74.3
14:56:38.317,1775764598317,1.07,5.09,74.9
14:56:45.034,1775764605034,1.07,5.09,75
14:56:52.716,1775764612716,1.072,5.09,74.2
14:57:03.857,1775764623857,1.07,5.09,75.5
14:57:12.631,1775764632631,1.07,5.095,75.9
14:57:21.033,1775764641033,1.08,5.088,76.4
14:57:31.636,1775764651636,1.086,5.093,76.8
14:57:40.114,1775764660114,1.15,5.09,75.3
14:57:49.102,1775764669102,1.09,5.09,77.8
14:57:57.197,1775764677197,1.1,5.09,77.8
14:58:05.269,1775764685269,1.1,5.09,78.3
14:58:15.662,1775764695662,1.10,5.09,78.7
14:58:23.368,1775764703368,1.10,5.09,79
14:58:32.920,1775764712920,1.10,5.09,79.4
14:58:40.872,1775764720872,1.11,5.09,79.8
14:58:48.889,1775764728889,1.10,5.09,79.9
14:58:58.656,1775764738656,1.1,5.091,80.4
14:59:07.644,1775764747644,1.104,5.091,80.5
14:59:16.054,1775764756054,1.10,5.09,81
14:59:22.654,1775764762654,1.15,5.08,81
14:59:30.719,1775764770719,1.1,5.09,80.8
14:59:38.886,1775764778886,1.10,5.09,80.8
