Time_Human,Time_Unix_ms,Current_A,Voltage_V,Temp_HW_C
11:48:24.653,1775753304653,1.24,5.06,79
11:48:46.102,1775753326102,1.271,5.07,80.4
11:49:03.030,1775753343030,1.24,5.08,82.5
11:49:21.302,1775753361302,1.23,5.09,83.1
11:49:36.827,1775753376827,1.22,5.09,82.3
11:49:56.573,1775753396573,1.13,5.08,82.4
11:50:19.209,1775753419209,1.08,5.08,82.7
11:50:44.920,1775753444920,1.16,5.082,81.5
11:51:01.019,1775753461019,1.22,5.09,81.7
11:51:19.346,1775753479346,1.15,5.08,81.5
11:51:35.097,1775753495097,1.123,5.098,81.5
11:52:02.498,1775753522498,1.15,5.08,81.9
11:52:19.667,1775753539667,1.1,5.08,81.6
11:52:33.900,1775753553900,1.15,5.09,81.3
11:52:57.506,1775753577506,1.14,5.07,82.3
11:53:10.945,1775753590945,1.08,5.09,82.5
