Config,Variable,Min,Max,Mean,Std,Samples
NOservices,Current_A,1.0,1.15,1.077939393939394,0.03402015890793593,33
NOservices,Voltage_V,5.08,5.102,5.091424242424242,0.004205876120309995,33
NOservices,Temp_HW_C,62.0,81.0,75.22121212121213,5.099004656288175,33
NOservices,CPU_Load_1m,0.0,1.12,0.8605218855218855,0.27602495859328,594
NOservices,CPU_Freq_MHz,2400.0,2400.0,2400.0,0.0,594
NOservices,RAM_Used_%,2.9,3.5,2.913636363636363,0.06387626971173069,594
NOservices,Disk_Write_MBps,0.0,7.331,0.15459932659932663,0.5787133146670307,594
NOservices,Temp_C,62.2,84.2,77.5939393939394,4.743512154287384,594
NOservices,Tiempo_Relativo_s,0.0,299.566,149.68524880382776,86.60923741091166,627
services,Current_A,1.07,1.29,1.165,0.05205456194566272,32
services,Voltage_V,5.07,5.098,5.084,0.008289130076151063,32
services,Temp_HW_C,78.3,82.9,81.37812500000001,1.0799445550283975,32
services,CPU_Load_1m,1.07,2.23,1.9376599326599326,0.28546948787908116,594
services,CPU_Freq_MHz,2400.0,2400.0,2400.0,0.0,594
services,RAM_Used_%,3.2,3.6,3.3099326599326604,0.047737995346036406,594
services,Disk_Write_MBps,0.0,4.238,0.2412946127946128,0.5439300207983883,594
services,Temp_C,80.4,85.9,84.01195286195288,0.9760410921809898,594
services,Tiempo_Relativo_s,0.0,299.558,149.46201118210863,86.63040187120383,626
