Quantity,Designator,Comment,Footprint,Description

"7","C1, C2, C4, C15, C21, C22, C28","04026D104KAT2A","0402N","AVX   04026D104KAT2A   Multilayer Ceramic Capacitor, 0.1 F,  10%, X5R, 6.3 V, 0402 [1005 Metric]"
"1","C3","CGA2B3X7S2A103K050BB","0402N","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0.01uF 100volts X7S +/-10%"
"3","C5, C6, C7","885012005009","0402N","WURTH ELEKTRONIK - 885012005009 - SMD Multilayer Ceramic Capacitor, 22 pF, 10 V, 0402 [1005 Metric], ± 5%, C0G / NP0"
"2","C8, C9","0603YC104KAT2A","0603N","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V .1uF X7R 0603 10% Tol"
"2","C10, C11","C1608X5R1E106M080AC","0603N","CAP CER 10UF 25V X5R 0603"
"3","C12, C13, C14","C1608JB1A226M080AC","0603N","CAP CER 22UF 10V JB 0603"
"2","C16, C17","TMCMA0J107MTRF","Case-A","Tantalum Capacitor, Polarized, Tantalum (dry/solid), 6.3V, 20% +Tol, 20% -Tol, 100uF, Surface Mount, 1306"
"1","C27","CC0402JRNPO9BN330","0402N","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, C0G, 30ppm/Cel TC, 0.000033uF, Surface Mount, 0402"
"2","D1, D6","ESD56151W05","SOD-323","145A@8/20us 7.5V 2.4kW@8/20us 6.3V Bidirectional 5V SOD-323 TVS Diodes ROHS"
"2","D2, D3","ESD9L5.0ST5G","SOD923-2N","TVS Diode, ESD9L, Unidirectional, 5 V, 9.8 V, SOD-923, 2 Pins"
"3","D4, D10, D12","LXES15AAA1-153","DFN90P100X45-2N","0402 ESD and Surge Protection (TVS/ESD) ROHS"
"1","D5","ESDA6V1W5","SOT323-5N","Trans Voltage Suppressor Diode, 150W, 3V V(RWM), Unidirectional, 4 Element, Silicon"
"2","D7, D8","TPESD0402G03V","DFN0402-2N","0402 ESD and Surge Protection (TVS/ESD) ROHS"
"1","D9","150060RS75000","0603_LED_RED","WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM"
"1","D11","WE05DGCF-B","DFN1006-2N","DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS"
"1","FB1","BLM21PG300SN1D","0805","Ferrite Beads Multi-Layer 30Ohm 100MHz 4A 14mOhm DCR 0805 Paper T/R"
"1","J1","USB-TYPE-C-018","USB_C","3A 1 Horizontal attachment 16P Female -25?~+85? Type-C SMD USB Connectors ROHS"
"1","J2","SMN-305","NanoSIM_1","Flip type 1.4mm Card Slot -25?~+85? Nano SIM card SMD SIM Card Connectors ROHS"
"5","J3, J5, J6, J7, J9","BWSMA-KE-P001","SMA","1 Inner Hole SMA Board-End Staggered pins 50O 5.2mm Plugin Coaxial Connectors (RF) ROHS"
"3","J4, J8, J10","IPEX-1","IPEX-1","SMD RF Connectors / Coaxial Connectors ROHS"
"1","L1","MPZ1608S601ATD25","0603N","Ferrite Beads 0603 600ohms 1000mA Power Line AEC-Q200"
"1","L2","SRN6045TA-2R2Y","SRN6045","General Purpose Inductor, 2.2uH, 30%, 1 Element, Ferrite-Core, SMD, 2424"
"1","L3","LQG15HS47NJ02D","0402N","General Purpose Inductor, 0.047uH, 5%, 1 Element, Air-Core, SMD, 0402"
