Time_Human,Time_Unix_ms,Current_A,Voltage_V,Temp_HW_C
12:00:58.431,1775754058431,0.98,5.1,68
12:01:10.395,1775754070395,1,5.1,68.1
12:01:24.605,1775754084605,1.01,5.1,70.1
12:01:39.384,1775754099384,1.02,5.1,71.4
12:01:56.566,1775754116566,1.03,5.103,73
12:02:10.515,1775754130515,1.03,5.102,73.6
12:02:29.835,1775754149835,1.03,5.102,74.1
12:02:41.955,1775754161955,1.04,5.1,74.8
12:02:53.825,1775754173825,1.04,5.09,74.3
12:03:07.060,1775754187060,1.04,5.1,75.1
12:03:22.041,1775754202041,1.04,5.1,75.7
12:03:36.427,1775754216427,1.05,5.1,75.8
12:03:48.903,1775754228903,1.09,5.09,76.4
12:04:02.091,1775754242091,1.06,5.09,76.6
12:04:19.748,1775754259748,1.06,5.09,77.4
12:04:41.076,1775754281076,1.06,5.09,77.3
12:04:56.488,1775754296488,1.07,5.09,78.2
12:05:21.310,1775754321310,1.07,5.09,78.98
12:05:37.186,1775754337186,1.06,5.12,78.1
12:05:57.784,1775754357784,0.78,5.14,74.7
12:06:12.793,1775754372793,0.82,5.14,73.3
12:06:28.953,1775754388953,0.81,5.14,72.2
