Config,Variable,Min,Max,Mean,Std,Samples
NOservices,Current_A,0.78,1.09,1.010526315789474,0.09401381010909023,19
NOservices,Voltage_V,5.09,5.14,5.104052631578947,0.017646131726593205,19
NOservices,Temp_HW_C,71.4,78.98,75.31473684210526,2.129140067468692,19
NOservices,CPU_Load_1m,0.66,1.13,0.9908458646616541,0.11487583865541057,532
NOservices,CPU_Freq_MHz,2400.0,2400.0,2400.0,0.0,532
NOservices,RAM_Used_%,3.3,4.3,3.4484962406015036,0.13674172523728292,532
NOservices,Disk_Write_MBps,0.062,4.764,0.14333646616541354,0.5042648893862376,532
NOservices,Temp_C,68.8,81.0,75.7437969924812,2.625770277111879,532
NOservices,Tiempo_Relativo_s,0.0,289.569,134.3689546279492,78.14709132508173,551
services,Current_A,1.08,1.271,1.1677499999999998,0.06089827583766225,16
services,Voltage_V,5.06,5.098,5.081875,0.009562949335848175,16
services,Temp_HW_C,79.0,83.1,81.76249999999999,0.9898653107030937,16
services,CPU_Load_1m,1.07,2.21,1.8755555555555554,0.2625547936602456,594
services,CPU_Freq_MHz,2400.0,2400.0,2400.0,0.0,594
services,RAM_Used_%,3.7,4.6,3.857070707070707,0.18187380977422948,594
services,Disk_Write_MBps,0.0,5.955,0.2664814814814815,0.6531247015007541,594
services,Temp_C,79.8,86.5,83.75656565656564,1.015362099027057,594
services,Tiempo_Relativo_s,0.0,299.609,149.679731147541,86.79536632592628,610
