,count,mean,std,min,1%,5%,50%,95%,99%,max
cpu_percent,563.0,0.006039076376554175,0.045028009083151535,0.0,0.0,0.0,0.0,0.0,0.2,0.8
arm_mhz,563.0,1500.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
core_mhz,563.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
h264_mhz,0.0,,,,,,,,,
isp_mhz,563.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
v3d_mhz,563.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
uart_mhz,563.0,43.87033747779751,0.3362305065304769,43.0,43.0,43.0,44.0,44.0,44.0,44.0
pwm_mhz,0.0,,,,,,,,,
emmc_mhz,563.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
pixel_mhz,0.0,,,,,,,,,
vec_mhz,0.0,,,,,,,,,
hdmi_mhz,563.0,648.0,0.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
dpi_mhz,0.0,,,,,,,,,
arm_temp,563.0,49.83250444049733,1.2565948230664772,45.0,46.1,47.2,49.9,51.6,51.79,52.1
core_volt,563.0,0.7199999999999999,1.1112103285326942e-16,0.72,0.72,0.72,0.72,0.72,0.72,0.72
sdram_c_volt,563.0,0.5999999999999999,1.1112103285326942e-16,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_i_volt,563.0,0.5999999999999999,1.1112103285326942e-16,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_p_volt,563.0,1.0999999999999999,2.2224206570653884e-16,1.1,1.1,1.1,1.1,1.1,1.1,1.1
3V7_WL_SW_A,563.0,0.010563618952042629,0.021924250815202245,0.0,0.0,0.0,0.00097593,0.05172429,0.0632012268,0.223488
3V3_SYS_A,563.0,0.07417934964476021,0.008878841497448333,0.06636324,0.06733918,0.06733918,0.07319475,0.08383238699999998,0.11102182199999999,0.1512692
1V8_SYS_A,563.0,0.12740306873889878,0.005134118889578874,0.1219913,0.1229672,0.124919,0.1268709,0.1288228,0.1571247,0.1600525
DDR_VDD2_A,563.0,0.005625031705150977,0.0018773204538829256,0.0,0.00097593,0.00292779,0.00585558,0.00878337,0.010130153399999996,0.01659081
