rail,idle_baseline_v,threshold_v,min_v,mean_v,std_v,p1_v,p99_v,undervoltage_samples,undervoltage_ratio_pct
BATT_V,0.008547,0.008291,0.007692,0.008679,0.000313,0.008547,0.009402,1,0.178
3V7_WL_SW_V,3.699776,3.588783,3.696064,3.6996,0.00166,3.696993,3.701985,0,0.0
1V8_SYS_V,1.799266,1.745288,1.787544,1.798714,0.005173,1.788521,1.816848,0,0.0
DDR_VDD2_V,1.106959,1.07375,1.100732,1.105419,0.002389,1.101464,1.110622,0,0.0
DDR_VDDQ_V,0.616117,0.597633,0.60293,0.615631,0.001385,0.609194,0.617582,0,0.0
3V3_SYS_V,3.310033,3.210732,3.294258,3.312906,0.010707,3.295186,3.355503,0,0.0
1V1_SYS_V,1.104028,1.070907,1.099999,1.102742,0.001368,1.099999,1.105127,0,0.0
0V8_SW_V,0.799999,0.775999,0.796702,0.79979,0.00075,0.798168,0.801237,0,0.0
3V3_DAC_V,3.302194,3.203128,3.299447,3.301752,0.001214,3.299447,3.304026,0,0.0
VDD_CORE_V,0.720439,0.698826,0.719633,0.720516,0.000259,0.719902,0.720976,0,0.0
3V3_ADC_V,3.304026,3.204905,3.302194,3.304085,0.00087,3.302194,3.305857,0,0.0
0V8_AON_V,0.79912,0.775147,0.797948,0.799165,0.000362,0.797948,0.799706,0,0.0
HDMI_V,5.0317,4.6,4.87224,4.942103,0.009921,4.9044,4.96068,0,0.0
EXT5V_V,5.0317,4.6,4.90306,4.943836,0.009058,4.90976,4.961189,0,0.0
