,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,cpu_percent,arm_temp,3V3_SYS_A,1V8_SYS_A,VDD_CORE_A
3V7_WL_SW_V,1.0,-0.0832018741651423,0.19425730853335804,-0.02736149597637104,0.22671932284862362,0.268063338768332,0.02039880227579049,-0.3918870232397552,-0.0679613922775016,0.043171648462025924,0.27286803879529564,0.5983643361447728,0.5076033142153834,0.03973160080132542,-0.3910423773467293,-0.7732421960641195,-0.2875558808551103,-0.31995094570447075,-0.35906141245734197
3V3_SYS_V,-0.0832018741651423,1.0,-0.06154666620699552,0.0411552542269505,0.13370239867772832,0.09010781593609038,-0.03850352683019061,-0.10018770752763168,0.008960194315634752,-0.083861944574524,-0.06296979486674847,0.027518322136587642,0.05096829511178255,0.03643376362452225,-0.11416487936010913,0.14948703641947522,-0.0681773316140278,0.06105485625214115,0.0415856417983079
1V8_SYS_V,0.19425730853335804,-0.06154666620699552,1.0,0.023428516046080396,0.06291429143352911,0.028428046576374374,-0.1001935448797855,-0.08067718551390073,-0.05214645489260398,0.054558482929452236,0.09434702175888884,0.1678676705725118,0.16453050086832852,0.09135192940527025,-0.09533198072688057,-0.214542042753463,-0.0872620099456112,-0.06908809623014223,-0.1905847688855357
DDR_VDD2_V,-0.02736149597637104,0.0411552542269505,0.023428516046080396,1.0,0.07203882073643982,0.027375780933095412,-0.007838536009505489,-0.04331541949979709,0.041707824353826556,0.0026108852329762696,-0.014049898391281061,0.026230414499747987,0.042848233631603304,-0.09756218853938317,-0.06889846776631857,0.08537251095200879,0.026655559300850645,0.013727621104643643,0.024990227792231347
DDR_VDDQ_V,0.22671932284862362,0.13370239867772832,0.06291429143352911,0.07203882073643982,1.0,0.575762295975587,0.007581412073744239,-0.7406084779390286,-0.016668333914419138,0.02540950476722646,-0.12928481464689104,0.6076964602219845,0.6073976103775632,-0.17977480901267848,-0.7719026356767464,0.14582113050787804,-0.45779799315502595,-0.04227609397619209,-0.15906379289336864
1V1_SYS_V,0.268063338768332,0.09010781593609038,0.028428046576374374,0.027375780933095412,0.575762295975587,1.0,0.0460034523173124,-0.7264403991058204,-0.01279640925255875,0.012667802584038339,-0.1347040726808307,0.6070260462089696,0.6029789968434499,-0.12409468062357833,-0.7514726532800106,0.0777540972074571,-0.4677545166607337,-0.07713139471992851,-0.23102944554234636
0V8_SW_V,0.02039880227579049,-0.03850352683019061,-0.1001935448797855,-0.007838536009505489,0.007581412073744239,0.0460034523173124,1.0,-0.05663909021357272,0.1641085924160499,-0.025287051616133642,-0.07626762674225707,0.027008265153129693,0.02738976153576382,-0.11876238175293916,-0.030295373415409547,0.013163683110514076,-0.01825457224148403,-0.027375254444166722,-0.043014623612997044
VDD_CORE_V,-0.3918870232397552,-0.10018770752763168,-0.08067718551390073,-0.04331541949979709,-0.7406084779390286,-0.7264403991058204,-0.05663909021357272,1.0,0.03118666514026109,0.035681501235480056,0.11530777566945143,-0.8071589989817557,-0.807613320858679,0.18046483744792888,0.9578214318509394,-0.036275928554046426,0.5770603743199232,0.08531222694356683,0.32275075608150866
3V3_DAC_V,-0.0679613922775016,0.008960194315634752,-0.05214645489260398,0.041707824353826556,-0.016668333914419138,-0.01279640925255875,0.1641085924160499,0.03118666514026109,1.0,0.04852080664649099,-0.05923120172459514,-0.03905698508823275,-0.062133114748137805,0.0577655990359994,0.032509148091030934,0.06732790168542953,0.008321415236894442,-0.024010669424200232,0.07728497118466132
3V3_ADC_V,0.043171648462025924,-0.083861944574524,0.054558482929452236,0.0026108852329762696,0.02540950476722646,0.012667802584038339,-0.025287051616133642,0.035681501235480056,0.04852080664649099,1.0,0.0839838978767443,0.04632303759311131,-0.005197169380511837,-0.02858506180347701,0.023222386468008383,-0.07469756329340754,-0.040016020565560376,-0.08470413968913167,-0.07049193100659819
0V8_AON_V,0.27286803879529564,-0.06296979486674847,0.09434702175888884,-0.014049898391281061,-0.12928481464689104,-0.1347040726808307,-0.07626762674225707,0.11530777566945143,-0.05923120172459514,0.0839838978767443,1.0,0.014959324073140953,-0.015184042268225712,0.08761733221796013,0.11136403435441819,-0.3427605598215108,0.07311114693489226,-0.05908990999134415,-0.12248918263146936
HDMI_V,0.5983643361447728,0.027518322136587642,0.1678676705725118,0.026230414499747987,0.6076964602219845,0.6070260462089696,0.027008265153129693,-0.8071589989817557,-0.03905698508823275,0.04632303759311131,0.014959324073140953,1.0,0.7157461532352215,-0.08802700143416074,-0.7990493679092204,-0.29647737700049065,-0.5636173972805144,-0.2703498685584011,-0.5299268589276528
EXT5V_V,0.5076033142153834,0.05096829511178255,0.16453050086832852,0.042848233631603304,0.6073976103775632,0.6029789968434499,0.02738976153576382,-0.807613320858679,-0.062133114748137805,-0.005197169380511837,-0.015184042268225712,0.7157461532352215,1.0,-0.1313825596732344,-0.8171187698176064,-0.2817195464356093,-0.5715444133248145,-0.2518213415682355,-0.43756246720559033
BATT_V,0.03973160080132542,0.03643376362452225,0.09135192940527025,-0.09756218853938317,-0.17977480901267848,-0.12409468062357833,-0.11876238175293916,0.18046483744792888,0.0577655990359994,-0.02858506180347701,0.08761733221796013,-0.08802700143416074,-0.1313825596732344,1.0,0.18674179910253985,-0.17519858962076038,0.13882394191165437,0.04174327669250068,-0.019605004221626744
cpu_percent,-0.3910423773467293,-0.11416487936010913,-0.09533198072688057,-0.06889846776631857,-0.7719026356767464,-0.7514726532800106,-0.030295373415409547,0.9578214318509394,0.032509148091030934,0.023222386468008383,0.11136403435441819,-0.7990493679092204,-0.8171187698176064,0.18674179910253985,1.0,-0.04029995352747731,0.6010697656313577,0.10283208068043782,0.28302597164242754
arm_temp,-0.7732421960641195,0.14948703641947522,-0.214542042753463,0.08537251095200879,0.14582113050787804,0.0777540972074571,0.013163683110514076,-0.036275928554046426,0.06732790168542953,-0.07469756329340754,-0.3427605598215108,-0.29647737700049065,-0.2817195464356093,-0.17519858962076038,-0.04029995352747731,1.0,0.012403286414293623,0.3032026219647302,0.4367462913748313
3V3_SYS_A,-0.2875558808551103,-0.0681773316140278,-0.0872620099456112,0.026655559300850645,-0.45779799315502595,-0.4677545166607337,-0.01825457224148403,0.5770603743199232,0.008321415236894442,-0.040016020565560376,0.07311114693489226,-0.5636173972805144,-0.5715444133248145,0.13882394191165437,0.6010697656313577,0.012403286414293623,1.0,0.6510740742096037,0.2482994612732657
1V8_SYS_A,-0.31995094570447075,0.06105485625214115,-0.06908809623014223,0.013727621104643643,-0.04227609397619209,-0.07713139471992851,-0.027375254444166722,0.08531222694356683,-0.024010669424200232,-0.08470413968913167,-0.05908990999134415,-0.2703498685584011,-0.2518213415682355,0.04174327669250068,0.10283208068043782,0.3032026219647302,0.6510740742096037,1.0,0.19051685691980438
VDD_CORE_A,-0.35906141245734197,0.0415856417983079,-0.1905847688855357,0.024990227792231347,-0.15906379289336864,-0.23102944554234636,-0.043014623612997044,0.32275075608150866,0.07728497118466132,-0.07049193100659819,-0.12248918263146936,-0.5299268589276528,-0.43756246720559033,-0.019605004221626744,0.28302597164242754,0.4367462913748313,0.2482994612732657,0.19051685691980438,1.0
