,count,mean,std,min,1%,5%,50%,95%,99%,max
cpu_percent,587.0,6.511584327086882,1.4392245414965974,0.0,0.0,6.3,6.8,7.0,7.2,7.5
arm_mhz,587.0,1703.5775127768313,55.76779048805148,1500.0,1500.0,1700.0,1700.0,1800.0,1800.0,1800.0
core_mhz,587.0,592.870528109029,25.515442695203802,500.0,500.0,591.0,591.0,636.0,636.0,636.0
h264_mhz,0.0,,,,,,,,,
isp_mhz,587.0,593.1005110732539,25.69999767090327,500.0,500.0,591.0,591.0,636.0,636.0,636.0
v3d_mhz,587.0,604.4327086882453,28.937855386864825,500.0,500.0,602.0,602.0,653.0,653.0,653.0
uart_mhz,587.0,43.94037478705281,0.2369931003260018,43.0,43.0,43.0,44.0,44.0,44.0,44.0
pwm_mhz,0.0,,,,,,,,,
emmc_mhz,587.0,199.99659284497446,0.05832101480453573,199.0,200.0,200.0,200.0,200.0,200.0,200.0
pixel_mhz,0.0,,,,,,,,,
vec_mhz,0.0,,,,,,,,,
hdmi_mhz,587.0,648.0,0.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
dpi_mhz,0.0,,,,,,,,,
arm_temp,587.0,67.63066439522999,4.055457714134902,54.9,57.1,59.8,68.6,72.5,73.0,74.7
core_volt,587.0,0.8010281090289607,0.018382009410497394,0.72,0.72,0.8031,0.8031,0.8168,0.8168,0.8168
sdram_c_volt,587.0,0.5999999999999999,1.1111699101061234e-16,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_i_volt,587.0,0.5999999999999999,1.1111699101061234e-16,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_p_volt,587.0,1.0999999999999996,4.444679640424493e-16,1.1,1.1,1.1,1.1,1.1,1.1,1.1
3V7_WL_SW_A,587.0,0.04804002955706985,0.009635129609555171,0.0,0.0,0.04586871,0.04977243,0.05562801,0.05785313039999997,0.07417068
3V3_SYS_A,587.0,0.09055533212947188,0.010674331932750846,0.0585558,0.05953173,0.08588185,0.08978556,0.10120392999999993,0.12798344,0.1942101
1V8_SYS_A,587.0,0.13365587291311753,0.005731394082832661,0.125895,0.1278468,0.1288228,0.1327265,0.1366302,0.16409284,0.16786
DDR_VDD2_A,587.0,0.021335791618398634,0.013496163261685418,0.00487965,0.00487965,0.00585558,0.02732604,0.03318162,0.04391685,0.1366302
DDR_VDDQ_A,587.0,0.00016200817717206134,0.002058525699564909,0.0,0.0,0.0,0.0,0.0,0.0004117679999999599,0.0333336
1V1_SYS_A,587.0,0.34955419097103924,0.03266964585201706,0.195186,0.1990897,0.3493829,0.3552385,0.3689016,0.376709,0.3806127
0V8_SW_A,587.0,0.4856224429301534,0.032480595966160986,0.334744,0.338511074,0.4850372,0.4918687,0.4967484,0.52128324,0.5406652
VDD_CORE_A,587.0,2.064244804088586,0.29620222176568684,1.29485,1.6061497999999998,1.66098,2.02711,2.6227409999999995,2.7427601999999998,3.0362
3V3_DAC_A,587.0,0.0007370721465076661,0.00019060103755100908,0.0003663,0.0004884,0.0004884,0.0007326,0.0009768,0.0009768,0.0009768
3V3_ADC_A,587.0,0.0007061831345826235,0.00013702562880301151,0.00042735,0.00054945,0.00054945,0.00067155,0.00103785,0.00103785,0.00103785
0V8_AON_A,587.0,0.004666008858603066,0.0002444839363879898,0.00409035,0.0042735,0.00433455,0.0046398,0.0050061,0.00506715,0.0058608
HDMI_A,587.0,0.026054933560477004,0.0004005909064313097,0.0252747,0.025379706000000002,0.0255189,0.0260073,0.0267399,0.0269841,0.0273504
3V7_WL_SW_V,587.0,3.669043056218057,0.017970679861785615,3.633891,3.63654508,3.640387,3.667298,3.699776,3.70256,3.7072
3V3_SYS_V,587.0,3.3079086558773425,0.010025300183643514,3.29333,3.294258,3.295186,3.304465,3.329521,3.329521,3.357359
1V8_SYS_V,587.0,1.8018822913117547,0.010630407725075303,1.787544,1.787544,1.788521,1.800242,1.817336,1.821243,1.821243
DDR_VDD2_V,587.0,1.1059071720613287,0.0021848149341037798,1.101098,1.101464,1.101464,1.106226,1.109156,1.110622,1.110622
DDR_VDDQ_V,587.0,0.6046882896081771,0.0029245214163086813,0.5999994,0.6003657,0.6010983,0.6040287,0.6076917,0.6164829,0.6205122
