rail,idle_baseline_v,threshold_v,min_v,mean_v,std_v,p1_v,p99_v,undervoltage_samples,undervoltage_ratio_pct
3V7_WL_SW_V,3.699776,3.588783,3.633891,3.669043,0.017971,3.636545,3.70256,0,0.0
3V3_SYS_V,3.310033,3.210732,3.29333,3.307909,0.010025,3.294258,3.329521,0,0.0
1V8_SYS_V,1.799266,1.745288,1.787544,1.801882,0.01063,1.787544,1.821243,0,0.0
DDR_VDD2_V,1.106959,1.07375,1.101098,1.105907,0.002185,1.101464,1.110622,0,0.0
DDR_VDDQ_V,0.616117,0.597633,0.599999,0.604688,0.002925,0.600366,0.616483,0,0.0
1V1_SYS_V,1.104028,1.070907,1.098167,1.100077,0.00096,1.098534,1.104761,0,0.0
0V8_SW_V,0.799999,0.775999,0.79597,0.799552,0.000631,0.798168,0.801464,0,0.0
VDD_CORE_V,0.720439,0.698826,0.72017,0.803955,0.018984,0.72017,0.821171,0,0.0
3V3_DAC_V,3.302194,3.203128,3.299447,3.302038,0.001338,3.299447,3.304026,0,0.0
3V3_ADC_V,3.304026,3.204905,3.302194,3.304073,0.001017,3.302194,3.307689,0,0.0
0V8_AON_V,0.79912,0.775147,0.797948,0.798811,0.000465,0.797948,0.799706,0,0.0
HDMI_V,5.0317,4.6,4.72082,4.80689,0.036297,4.74762,4.94594,0,0.0
EXT5V_V,5.0317,4.6,4.74762,4.808335,0.035316,4.754132,4.94594,0,0.0
BATT_V,0.008547,0.008291,0.008547,0.009157,0.000387,0.008547,0.009402,0,0.0
