,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,cpu_percent,arm_temp,3V3_SYS_A,1V8_SYS_A,VDD_CORE_A
3V7_WL_SW_V,1.0,-0.016243429833946502,0.019322831216956295,-0.04054555403510421,-0.028599199141327435,0.010833429772751998,0.03695828552029363,-0.002676442593563989,0.03599406834019256,0.053810857755163435,0.03503233129256592,0.058004830804499766,0.07419626825854894,0.0393186280282726,0.0736758315358692,-0.04431860080992206,-0.07817423524811325,-0.07639520341365016,-0.019358738361232405
3V3_SYS_V,-0.016243429833946502,1.0,0.13958158077135924,-0.010930419954947292,0.029324864705867273,-0.021069312670968492,-0.002934660299198152,-0.05044640700666624,0.09343437105196666,0.05047133474363959,-0.06451758375854712,-0.0048937191798283635,-0.0044338439991021125,-0.016960094802082926,-0.0012104784653748418,0.006833266108157897,0.023107880452642286,0.05128705497658705,0.015905017477731574
1V8_SYS_V,0.019322831216956295,0.13958158077135924,1.0,0.006970477026660678,0.03956626321359187,-0.04110283681846619,-0.0434996745092824,-0.02228468578146433,-0.0010559107144357941,0.113687097485367,-0.01260147694732496,-0.03276628536606589,-0.03366645008491552,0.04566559241880889,-0.029648918899526092,-0.008014614500329465,0.09838032108282324,0.062211105908285054,0.04829567852946099
DDR_VDD2_V,-0.04054555403510421,-0.010930419954947292,0.006970477026660678,1.0,-0.025304265282321287,0.06428086981366457,0.051112907105344225,0.002795542982213864,0.03084003909584795,0.017382428773760426,0.0025814121972710306,0.04331391553965133,-0.04674536103876311,0.04594147115583694,0.04192123465628512,-0.034993702451176716,0.0345542374703816,0.004199046425261054,0.10541922071487413
DDR_VDDQ_V,-0.028599199141327435,0.029324864705867273,0.03956626321359187,-0.025304265282321287,1.0,0.0051860912598638625,0.007584908656948254,-0.0010698817826532878,-0.06533404371441692,-0.004849213543805475,0.0699954807267439,0.07573797109304342,-0.0012341295242252219,0.054130758591279166,0.05694576770326944,0.0071165863424512265,-0.0008658830071770047,-0.015350372323305739,-0.013955983478221448
1V1_SYS_V,0.010833429772751998,-0.021069312670968492,-0.04110283681846619,0.06428086981366457,0.0051860912598638625,1.0,-0.015286478800558265,-0.01820346961613424,0.015152769791667508,-0.018398280805521396,0.014210735801877568,-0.025282424711354307,0.016713192522647264,0.00448762405346746,0.00733566991188427,-0.007064624721391648,-0.0090912988602626,-0.005580652327597593,0.033000034569294706
0V8_SW_V,0.03695828552029363,-0.002934660299198152,-0.0434996745092824,0.051112907105344225,0.007584908656948254,-0.015286478800558265,1.0,-0.03705111265407407,0.02605356829458553,0.01650436858578112,-0.012945471828997605,0.01996192707610335,0.03809092706598353,0.010865391658503332,-0.009039529734776746,-0.0060691573392213745,-0.03590636047500312,0.026783271845398384,0.1101501250167652
VDD_CORE_V,-0.002676442593563989,-0.05044640700666624,-0.02228468578146433,0.002795542982213864,-0.0010698817826532878,-0.01820346961613424,-0.03705111265407407,1.0,-0.034682590457247635,-0.047947383442491914,-0.03613660415484329,0.06845447229741633,0.02137393865053964,-0.0011091451870041257,0.0045911080017049495,-0.0025367158893450465,0.008628808909515891,-0.020890137825095186,0.008696987753759364
3V3_DAC_V,0.03599406834019256,0.09343437105196666,-0.0010559107144357941,0.03084003909584795,-0.06533404371441692,0.015152769791667508,0.02605356829458553,-0.034682590457247635,1.0,-0.15358868718471413,-0.11433106215783158,0.15801590660257553,1.8322870788379224e-05,0.02759217545292962,0.020302760887195712,0.06066280369731805,-0.015645103084764626,-0.06701502231944957,-0.01820139545991937
3V3_ADC_V,0.053810857755163435,0.05047133474363959,0.113687097485367,0.017382428773760426,-0.004849213543805475,-0.018398280805521396,0.01650436858578112,-0.047947383442491914,-0.15358868718471413,1.0,0.17035615243857516,0.05157924775587232,0.0006569531124426321,0.06290215266743045,-0.013177477283129827,-0.03904242059433975,-0.02786391567687493,0.01239906533134116,-0.029101768707427703
0V8_AON_V,0.03503233129256592,-0.06451758375854712,-0.01260147694732496,0.0025814121972710306,0.0699954807267439,0.014210735801877568,-0.012945471828997605,-0.03613660415484329,-0.11433106215783158,0.17035615243857516,1.0,0.05710663211831837,0.02464674814522175,0.08315147825265234,-0.03952169719161466,0.014479796162088134,-0.013847513031043243,0.002420327349650115,-0.07054439303337197
HDMI_V,0.058004830804499766,-0.0048937191798283635,-0.03276628536606589,0.04331391553965133,0.07573797109304342,-0.025282424711354307,0.01996192707610335,0.06845447229741633,0.15801590660257553,0.05157924775587232,0.05710663211831837,1.0,0.42595978182639127,-0.011290537972466073,-0.0013547233055641024,-0.036163556107343175,-0.24355071534037692,-0.35224025826616645,0.005340921858833589
