,count,mean,std,min,1%,5%,50%,95%,99%,max
cpu_percent,562.0,0.00800711743772242,0.04251387466780235,0.0,0.0,0.0,0.0,0.0,0.2,0.5
arm_mhz,562.0,1500.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
core_mhz,562.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
h264_mhz,0.0,,,,,,,,,
isp_mhz,562.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
v3d_mhz,562.0,500.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
uart_mhz,562.0,43.895017793594306,0.30680357079957965,43.0,43.0,43.0,44.0,44.0,44.0,44.0
pwm_mhz,0.0,,,,,,,,,
emmc_mhz,562.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
pixel_mhz,0.0,,,,,,,,,
vec_mhz,0.0,,,,,,,,,
hdmi_mhz,562.0,648.0,0.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
dpi_mhz,0.0,,,,,,,,,
arm_temp,562.0,56.06245551601423,0.7125783709444117,54.3,54.3,54.9,56.0,57.1,57.6,57.6
core_volt,562.0,0.7199999999999999,1.1112120876494847e-16,0.72,0.72,0.72,0.72,0.72,0.72,0.72
sdram_c_volt,562.0,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_i_volt,562.0,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_p_volt,562.0,1.0999999999999996,4.444848350597939e-16,1.1,1.1,1.1,1.1,1.1,1.1,1.1
3V7_WL_SW_A,562.0,0.007619894822064058,0.02083581409794343,0.0,0.0,0.0,0.00097593,0.04782057,0.05074836,0.2918031
3V3_SYS_A,562.0,0.054007827313167264,0.008316033464062749,0.04782057,0.0487965,0.04977243,0.05172429,0.06538731,0.09114210269999999,0.1161357
1V8_SYS_A,562.0,0.12754988451957297,0.005284856859099225,0.1210153,0.123562499,0.124919,0.1268709,0.1288228,0.1581007,0.1600525
DDR_VDD2_A,562.0,0.0062306705338078285,0.0022307136701241732,0.0,0.00097593,0.00292779,0.00585558,0.00878337,0.01171116,0.02049453
DDR_VDDQ_A,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1V1_SYS_A,562.0,0.1833862859430605,0.004952059644390646,0.1785952,0.1795711,0.1795711,0.181523,0.1932341,0.2039694,0.2068972
0V8_SW_A,562.0,0.3344574637010676,0.0014629049119804245,0.3288884,0.3308403,0.3318162,0.334744,0.3366958,0.3376718,0.3396236
VDD_CORE_A,562.0,1.3167936476868327,0.009107122697021991,1.28592,1.29485,1.30378,1.31271,1.33057,1.33057,1.3395
3V3_DAC_A,562.0,0.0004937228647686834,7.562008168108557e-05,0.0003663,0.0003663,0.0003663,0.00054945,0.00054945,0.00054945,0.00067155
3V3_ADC_A,562.0,0.0007181522241992883,0.0001554986366999506,0.00042735,0.00042735,0.00042735,0.00067155,0.00091575,0.00091575,0.00091575
