rail,start,end,samples,duration_s,baseline_v,threshold_v,min_v,avg_v,drop_pct,severity,avg_cpu_percent,avg_arm_temp,avg_VDD_CORE_A
BATT_V,2026-04-11 10:39:36,2026-04-11 10:39:36,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,54.9,1.3216
BATT_V,2026-04-11 10:39:47,2026-04-11 10:39:47,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,56.5,1.3127
BATT_V,2026-04-11 10:39:53,2026-04-11 10:39:53,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,57.1,1.3127
BATT_V,2026-04-11 10:39:57,2026-04-11 10:39:57,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,54.9,1.2949
BATT_V,2026-04-11 10:40:25,2026-04-11 10:40:25,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.2,56.5,1.3127
BATT_V,2026-04-11 10:40:31,2026-04-11 10:40:31,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,54.9,1.3038
BATT_V,2026-04-11 10:40:42,2026-04-11 10:40:42,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,56.0,1.3038
BATT_V,2026-04-11 10:41:57,2026-04-11 10:41:57,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,55.4,1.3127
BATT_V,2026-04-11 10:42:01,2026-04-11 10:42:01,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,55.4,1.3216
BATT_V,2026-04-11 10:42:14,2026-04-11 10:42:14,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,56.0,1.2949
BATT_V,2026-04-11 10:53:30,2026-04-11 10:53:30,1,2.0,0.008547,0.008291,0.007692,0.007692,10.0,critical,0.0,56.5,1.3306
