rail,idle_baseline_v,threshold_v,min_v,mean_v,std_v,p1_v,p99_v,undervoltage_samples,undervoltage_ratio_pct
BATT_V,0.008547,0.008291,0.007692,0.008558,0.000194,0.007692,0.009402,11,1.957
3V7_WL_SW_V,3.699776,3.588783,3.696064,3.69991,0.000925,3.69792,3.701632,0,0.0
1V8_SYS_V,1.799266,1.745288,1.787544,1.799394,0.004548,1.788521,1.806592,0,0.0
DDR_VDD2_V,1.106959,1.07375,1.099999,1.105864,0.002437,1.101321,1.110622,0,0.0
DDR_VDDQ_V,0.616117,0.597633,0.603662,0.615748,0.001384,0.609318,0.617948,0,0.0
3V3_SYS_V,3.310033,3.210732,3.294258,3.311496,0.009468,3.295186,3.339654,0,0.0
1V1_SYS_V,1.104028,1.070907,1.099999,1.103476,0.001636,1.099999,1.105494,0,0.0
0V8_SW_V,0.799999,0.775999,0.798168,0.799875,0.00063,0.7989,0.801464,0,0.0
3V3_DAC_V,3.302194,3.203128,3.299447,3.30164,0.001365,3.299447,3.304026,0,0.0
VDD_CORE_V,0.720439,0.698826,0.719633,0.720367,0.000248,0.719633,0.720976,0,0.0
3V3_ADC_V,3.304026,3.204905,3.302194,3.304021,0.000805,3.302194,3.305857,0,0.0
0V8_AON_V,0.79912,0.775147,0.797948,0.79894,0.000507,0.797948,0.799706,0,0.0
HDMI_V,5.0317,4.6,4.95264,5.029223,0.007509,5.0049,5.0384,0,0.0
EXT5V_V,5.0317,4.6,5.00624,5.031078,0.006576,5.01026,5.03974,0,0.0
