,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,cpu_percent,arm_temp,3V3_SYS_A,1V8_SYS_A,VDD_CORE_A
3V7_WL_SW_V,1.0,0.028686325596887177,0.013349900478673852,-0.0435546455661809,-0.016671028825483974,-0.06164758110986863,0.04803321183291368,0.022378177212169274,0.012734166854568072,0.01284324122964,0.028613794720618778,0.002901212568025358,-0.006515169999018232,-0.02175461891748016,0.051607520841061974,0.024771661832703448,0.03439506559994653,0.01447839742274466,0.0027192953348951126
3V3_SYS_V,0.028686325596887177,1.0,0.12024284901722053,-0.00434333413358642,-0.020069249830291278,-0.07429468280620066,-0.017273291456435275,0.0007901429270679521,0.0011630629637954077,0.07058128620409959,0.09922217822675516,-0.016717496482236437,-0.00311977104456566,-0.0018221007980846029,0.01718285475339427,-0.02997762859716557,-0.007269649051231727,0.02967556537041607,-0.0003663781760325147
1V8_SYS_V,0.013349900478673852,0.12024284901722053,1.0,-0.016921623371829536,-0.015019739387761747,-0.01695855791720693,-0.025534818284026345,0.15717381469875633,0.09366688825638764,0.13237234797622263,0.06253162463393387,-0.0902221176052132,-0.0901738932145862,-0.037469056259186014,0.09916060718589935,0.03168590521723031,0.08483937065515236,0.031563246726142656,0.11894274388296185
DDR_VDD2_V,-0.0435546455661809,-0.00434333413358642,-0.016921623371829536,1.0,-0.0021410803227908453,0.010683200151030086,0.04205286631465576,-0.02273169579821081,0.007103741955767838,0.06341943243344006,0.0014065453494670735,-0.03558937323799384,-0.025014748285932926,0.08481508109941892,-0.04722643255629053,-0.022866474482632515,0.014752830914614766,0.04845728459079676,-0.01515037922500419
DDR_VDDQ_V,-0.016671028825483974,-0.020069249830291278,-0.015019739387761747,-0.0021410803227908453,1.0,-0.007926648256566731,-0.08245620252642702,-0.29797390508293564,0.0265397858885595,0.025614567375870843,-0.002918929090069011,0.3738065924921585,0.3160036462371764,-0.08717571907867261,-0.24296267596467508,-0.13634565870909948,-0.2398407529935938,-0.009960331989711128,-0.33154104125067607
1V1_SYS_V,-0.06164758110986863,-0.07429468280620066,-0.01695855791720693,0.010683200151030086,-0.007926648256566731,1.0,0.00307943855387037,0.048704862765113925,-0.03105653125996769,-0.038789762418814384,0.010160231628085674,0.02298853732222209,-0.022563305648360885,0.08419400935602855,0.0012695977735598574,-0.03495752976672445,0.004167982434046694,-0.01867235390905529,0.048868456277394445
0V8_SW_V,0.04803321183291368,-0.017273291456435275,-0.025534818284026345,0.04205286631465576,-0.08245620252642702,0.00307943855387037,1.0,0.011063914790249797,0.04901907410502815,-0.03250732222250911,-0.024974061603434298,-0.005316991623227156,-0.013466289184261494,0.018963248748008265,-0.006331516158439326,0.018928968038246754,0.029588601055022663,0.029630432457823992,0.01946498501828029
VDD_CORE_V,0.022378177212169274,0.0007901429270679521,0.15717381469875633,-0.02273169579821081,-0.29797390508293564,0.048704862765113925,0.011063914790249797,1.0,0.058615444439391304,-0.017745375978629296,-0.024022685692402606,-0.6459728545841836,-0.6359656797484312,0.0719627194122268,0.7028690045702429,0.4054969962854558,0.2173422274950967,0.1264557973398055,0.9522050961105375
3V3_DAC_V,0.012734166854568072,0.0011630629637954077,0.09366688825638764,0.007103741955767838,0.0265397858885595,-0.03105653125996769,0.04901907410502815,0.058615444439391304,1.0,-0.07165698158647171,-0.05713051408214275,-0.045519705274945414,-0.09437076622565611,0.06504599169410004,0.06619132235440751,0.06478287006053522,0.06170020112300341,0.04793975562759003,0.05853771803629684
3V3_ADC_V,0.01284324122964,0.07058128620409959,0.13237234797622263,0.06341943243344006,0.025614567375870843,-0.038789762418814384,-0.03250732222250911,-0.017745375978629296,-0.07165698158647171,1.0,0.14753025231804415,0.034922031516078575,0.06883937382574505,0.012095836676756351,-0.0546223613324895,-0.02266533552337819,-0.04773262881578418,-0.04003966718625876,-0.01810486825877284
