rail,idle_baseline_v,threshold_v,min_v,mean_v,std_v,p1_v,p99_v,undervoltage_samples,undervoltage_ratio_pct
BATT_V,0.008547,0.008291,0.007692,0.008834,0.000407,0.008547,0.009402,1,0.172
3V7_WL_SW_V,3.699776,3.588783,3.681217,3.699912,0.002254,3.696064,3.704416,0,0.0
1V8_SYS_V,1.799266,1.745288,1.787544,1.798451,0.005664,1.788521,1.816848,0,0.0
DDR_VDD2_V,1.106959,1.07375,1.101098,1.105718,0.002369,1.101464,1.110622,0,0.0
DDR_VDDQ_V,0.616117,0.597633,0.600366,0.615541,0.001961,0.60534,0.617582,0,0.0
3V3_SYS_V,3.310033,3.210732,3.291474,3.312252,0.00984,3.294258,3.355503,0,0.0
1V1_SYS_V,1.104028,1.070907,1.097801,1.10288,0.001439,1.099999,1.105494,0,0.0
0V8_SW_V,0.799999,0.775999,0.795237,0.799743,0.000805,0.797435,0.801098,0,0.0
3V3_DAC_V,3.302194,3.203128,3.299447,3.301861,0.00112,3.299447,3.304026,0,0.0
VDD_CORE_V,0.720439,0.698826,0.719633,0.723081,0.020968,0.72017,0.899877,0,0.0
3V3_ADC_V,3.304026,3.204905,3.302194,3.30416,0.00094,3.302194,3.305857,0,0.0
0V8_AON_V,0.79912,0.775147,0.797948,0.799117,0.000371,0.797948,0.799706,0,0.0
HDMI_V,5.0317,4.6,4.75432,4.921106,0.018474,4.8508,4.94728,0,0.0
EXT5V_V,5.0317,4.6,4.78514,4.922642,0.017575,4.84946,4.94728,0,0.0
