timestamp,cpu_percent,arm_mhz,core_mhz,h264_mhz,isp_mhz,v3d_mhz,uart_mhz,pwm_mhz,emmc_mhz,pixel_mhz,vec_mhz,hdmi_mhz,dpi_mhz,arm_temp,core_volt,sdram_c_volt,sdram_i_volt,sdram_p_volt,3V7_WL_SW_A,3V3_SYS_A,1V8_SYS_A,DDR_VDD2_A,DDR_VDDQ_A,1V1_SYS_A,0V8_SW_A,VDD_CORE_A,3V3_DAC_A,3V3_ADC_A,0V8_AON_A,HDMI_A,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,readmr_4,readmr_5,readmr_6,readmr_8,throttle_hex,UV,ArmFreqCap,CurThrottle,SoftTempLimit,UV_occured,ArmFreqCap_occured,Throttle_occured,SoftTempLimit_occured
2026-04-15 11:42:10,1.5,2000,910,,910,960,44,,200,,,648,,55.4,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09173742,0.16005250,0.00390372,0.00000000,0.20396940,0.33474400,1.96460000,0.00042735,0.00042735,0.00457875,0.02698410,3.69977600,3.32766400,1.79828900,1.10366200,0.61648290,1.10476100,0.80036550,0.89933980,3.30219400,3.30219400,0.79882700,5.02902000,5.03706000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:12,0.0,2000,910,,910,960,44,,200,,,648,,57.6,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16395620,0.00487965,0.00000000,0.20494530,0.33181620,1.95567000,0.00042735,0.00042735,0.00445665,0.02735040,3.69977600,3.29889800,1.80610300,1.10695900,0.61721550,1.10366200,0.80073180,0.89987700,3.30219400,3.30311000,0.79882700,5.03706000,5.04644000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:14,0.2,1500,500,,500,500,44,,200,,,648,,56.0,0.7200,0.6000,0.6000,1.1000,0.00000000,0.08685777,0.15907660,0.00292779,0.00000000,0.21275270,0.33571990,1.32164000,0.00048840,0.00079365,0.00451770,0.02698410,3.69884800,3.32766400,1.80659200,1.10366200,0.60695910,1.10512700,0.79963290,0.72097620,3.29944700,3.30311000,0.79941320,5.05314000,5.06520000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:16,0.0,2000,910,,910,960,44,,200,,,648,,56.5,0.8959,0.6000,0.6000,1.1000,0.00000000,0.08685777,0.16102850,0.00683151,0.00000000,0.30449020,0.33279210,1.97353000,0.00061050,0.00067155,0.00439560,0.02673990,3.70070400,3.30168200,1.78852100,1.10439400,0.61465140,1.10366200,0.79890030,0.89907110,3.30127900,3.30494200,0.79941320,5.04644000,5.04108000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:18,0.0,2000,910,,910,960,44,,200,,,648,,56.5,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09856894,0.16395620,0.00390372,0.00000000,0.22251200,0.33279210,1.96460000,0.00061050,0.00103785,0.00433455,0.02710620,3.69977600,3.31188900,1.81733600,1.10586000,0.61575030,1.10476100,0.80036550,0.89987700,3.30219400,3.30311000,0.79882700,5.03304000,5.02634000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:20,0.0,1500,500,,500,500,44,,200,,,648,,56.0,0.7200,0.6000,0.6000,1.1000,0.00000000,0.08978556,0.15810070,0.00292779,0.00000000,0.20396940,0.33474400,1.30378000,0.00054945,0.00091575,0.00463980,0.02710620,3.70256000,3.31281700,1.79096300,1.10439400,0.61208730,1.09999900,0.79890030,0.72043880,3.30402600,3.30219400,0.79941320,5.05314000,5.07056000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:23,0.0,1500,500,,500,500,44,,200,,,648,,56.5,0.7200,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.15810070,0.00487965,0.00000000,0.20299340,0.33376810,1.28592000,0.00054945,0.00042735,0.00488400,0.02698410,3.70070400,3.32580900,1.79828900,1.10439400,0.61611660,1.10256300,0.80036550,0.72070740,3.29944700,3.30494200,0.79941320,5.05314000,5.04912000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:25,1.8,2000,910,,910,960,44,,200,,,648,,56.0,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16493220,0.00487965,0.00000000,0.21275270,0.33279210,1.91995000,0.00042735,0.00054945,0.00451770,0.02747250,3.69977600,3.30353800,1.78900900,1.10292900,0.61575030,1.10146400,0.79963290,0.89933980,3.30219400,3.30402600,0.79882700,5.01294000,5.03438000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:27,0.0,2000,910,,910,960,44,,200,,,648,,56.0,0.8959,0.6000,0.6000,1.1000,0.00000000,0.09076149,0.16493220,0.00683151,0.00000000,0.20592120,0.33279210,1.94674000,0.00054945,0.00103785,0.00427350,0.02759460,3.70070400,3.30353800,1.81684800,1.10695900,0.61538400,1.10109800,0.79963290,0.89933980,3.30219400,3.30402600,0.79882700,5.01294000,4.98346000,0.00854700, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
2026-04-15 11:42:29,6.0,2000,910,,910,960,44,,200,,,648,,56.5,0.8959,0.6000,0.6000,1.1000,0.00000000,0.11515970,0.16395620,0.00683151,0.00000000,0.38451640,0.48503720,1.98246000,0.00042735,0.00054945,0.00427350,0.02759460,3.69977600,3.29425800,1.81684800,1.10732500,0.60183090,1.09926600,0.79999920,0.90068290,3.30127900,3.30494200,0.79941320,4.96336000,4.98212000,0.00940170, 2, 255, 7, 24,0x0,No,No,No,No,No,No,No,No
