,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,cpu_percent,arm_temp,3V3_SYS_A,1V8_SYS_A,VDD_CORE_A
3V7_WL_SW_V,1.0,0.008385562423766894,-0.05239096691064443,-0.013552528906711696,0.02925723960632905,0.021629822198087987,-0.01467531982248304,0.05629519485774108,0.00022334871718227386,-0.010624478415731884,0.026194847575034007,0.006264029497734786,0.043107921447871025,0.04214523566214088,-0.01665186137291758,0.06116968794809122,-0.03181883584046689,-0.016760571170019556,0.0876952653328361
3V3_SYS_V,0.008385562423766894,1.0,0.13962090212544737,0.008303966013249288,0.07090631132861956,0.04326171845783172,-0.01854329987610066,-0.10016578967095044,0.02375186221862371,0.07168191047457198,0.0757370260028401,-0.04349911847941103,-0.0292277019722391,0.03266070485794723,0.05573687066839908,-0.029487165491329407,0.005856492177864964,0.03317056361633734,-0.03214627616574696
1V8_SYS_V,-0.05239096691064443,0.13962090212544737,1.0,-0.06141664984884765,0.020181502152463296,-0.06020222361193163,0.0846551346767374,-0.12353052276211585,-0.0014076035873510698,0.07721551821851784,0.08546233783236934,0.0023137154723898968,-0.02536313753848307,-0.025528518482523983,0.02104453439057984,-0.029711423376532698,0.01858692973164866,-0.04743093793021366,-0.054449120243131165
DDR_VDD2_V,-0.013552528906711696,0.008303966013249288,-0.06141664984884765,1.0,-0.06029762131343278,0.007826047578405798,-0.048489161106520524,0.047786107541471626,-0.04434995705928405,0.07906610236001024,0.023368352189603248,0.01716526287412402,-0.03820642026779113,0.029598145657792355,0.015102663311828829,0.026510200497006416,0.052128728111848044,0.021352035143095697,-0.018989951549901563
DDR_VDDQ_V,0.02925723960632905,0.07090631132861956,0.020181502152463296,-0.06029762131343278,1.0,0.039475381025563555,0.017552482896136184,-0.062288653834933275,0.03037786065698906,0.009261482135277624,-0.022742751465957917,0.0618440119364397,0.034364295576747646,0.03372603838053276,-0.034433225567311446,0.03480736739680293,-0.00922617710320291,0.03370396252756492,0.028967364525303185
1V1_SYS_V,0.021629822198087987,0.04326171845783172,-0.06020222361193163,0.007826047578405798,0.039475381025563555,1.0,0.02147387798119423,0.06537510136769067,0.11525458447006413,0.009195443826693277,-0.0002034641580251392,0.06796310866640135,0.02979269734744128,0.0565182763993145,0.05014214375824469,0.03666518457632454,-0.03793539025430386,-0.06936241646151009,0.049191593207165235
0V8_SW_V,-0.01467531982248304,-0.01854329987610066,0.0846551346767374,-0.048489161106520524,0.017552482896136184,0.02147387798119423,1.0,0.02259766099012893,0.12157785663463229,0.06733512563776012,0.046982934686577806,0.07081744740789231,-0.01087976062690358,0.08479188694183958,-0.04741211842797702,0.04121420828117432,-0.03346115751538187,-0.0532847121005606,0.056455684319882245
VDD_CORE_V,0.05629519485774108,-0.10016578967095044,-0.12353052276211585,0.047786107541471626,-0.062288653834933275,0.06537510136769067,0.02259766099012893,1.0,0.024697928682396238,-0.01613933587923143,0.015073191535447882,-0.04212072106367887,0.011116353785892779,0.055954719367187405,0.01750620022223977,0.0978599716892169,0.007433113037635806,-0.01955056633238434,0.12224065733141047
3V3_DAC_V,0.00022334871718227386,0.02375186221862371,-0.0014076035873510698,-0.04434995705928405,0.03037786065698906,0.11525458447006413,0.12157785663463229,0.024697928682396238,1.0,-0.06157544191552134,-0.05861609030881622,-0.03876261854958401,-0.09470672897638187,0.06234602304709227,-0.016611914450219926,0.18633905651649826,0.060245539654450175,0.009542635037125338,0.22497879045512853
3V3_ADC_V,-0.010624478415731884,0.07168191047457198,0.07721551821851784,0.07906610236001024,0.009261482135277624,0.009195443826693277,0.06733512563776012,-0.01613933587923143,-0.06157544191552134,1.0,0.13256481923897592,0.040214739951355716,-0.006780353439493774,-0.033504514807682614,-0.0007134073739438534,0.1597544437565989,0.012084303207474481,-0.013041629157123362,0.14330503131568637
0V8_AON_V,0.026194847575034007,0.0757370260028401,0.08546233783236934,0.023368352189603248,-0.022742751465957917,-0.0002034641580251392,0.046982934686577806,0.015073191535447882,-0.05861609030881622,0.13256481923897592,1.0,-0.005418011738029596,0.033379858925092404,0.029663073760541912,0.05356494909702271,0.04009099459224818,0.0047782157081313805,-0.0713121420932352,0.030323299200866544
HDMI_V,0.006264029497734786,-0.04349911847941103,0.0023137154723898968,0.01716526287412402,0.0618440119364397,0.06796310866640135,0.07081744740789231,-0.04212072106367887,-0.03876261854958401,0.040214739951355716,-0.005418011738029596,1.0,0.5911917712181337,-0.06482395656094321,-0.050518350546238745,-0.18326227341278542,-0.1864385278943987,-0.26583425312888004,-0.22176431056524126
EXT5V_V,0.043107921447871025,-0.0292277019722391,-0.02536313753848307,-0.03820642026779113,0.034364295576747646,0.02979269734744128,-0.01087976062690358,0.011116353785892779,-0.09470672897638187,-0.006780353439493774,0.033379858925092404,0.5911917712181337,1.0,-0.1309383769082629,-0.028418507074268656,-0.2631503592661083,-0.2375948142878206,-0.25137188076664857,-0.2785712851909263
BATT_V,0.04214523566214088,0.03266070485794723,-0.025528518482523983,0.029598145657792355,0.03372603838053276,0.0565182763993145,0.08479188694183958,0.055954719367187405,0.06234602304709227,-0.033504514807682614,0.029663073760541912,-0.06482395656094321,-0.1309383769082629,1.0,-0.05662452031291405,0.13776252154715476,0.10093547553080161,0.08538308909442426,0.10965271733273396
cpu_percent,-0.01665186137291758,0.05573687066839908,0.02104453439057984,0.015102663311828829,-0.034433225567311446,0.05014214375824469,-0.04741211842797702,0.01750620022223977,-0.016611914450219926,-0.0007134073739438534,0.05356494909702271,-0.050518350546238745,-0.028418507074268656,-0.05662452031291405,1.0,-0.09718887225803874,-0.04443521052293805,-0.030452062781430703,-0.12483999766093219
arm_temp,0.06116968794809122,-0.029487165491329407,-0.029711423376532698,0.026510200497006416,0.03480736739680293,0.03666518457632454,0.04121420828117432,0.0978599716892169,0.18633905651649826,0.1597544437565989,0.04009099459224818,-0.18326227341278542,-0.2631503592661083,0.13776252154715476,-0.09718887225803874,1.0,0.029702619504727176,0.03521274928861823,0.8038017277035439
3V3_SYS_A,-0.03181883584046689,0.005856492177864964,0.01858692973164866,0.052128728111848044,-0.00922617710320291,-0.03793539025430386,-0.03346115751538187,0.007433113037635806,0.060245539654450175,0.012084303207474481,0.0047782157081313805,-0.1864385278943987,-0.2375948142878206,0.10093547553080161,-0.04443521052293805,0.029702619504727176,1.0,0.6841115502984212,0.03401950319942013
1V8_SYS_A,-0.016760571170019556,0.03317056361633734,-0.04743093793021366,0.021352035143095697,0.03370396252756492,-0.06936241646151009,-0.0532847121005606,-0.01955056633238434,0.009542635037125338,-0.013041629157123362,-0.0713121420932352,-0.26583425312888004,-0.25137188076664857,0.08538308909442426,-0.030452062781430703,0.03521274928861823,0.6841115502984212,1.0,0.010024139162323796
VDD_CORE_A,0.0876952653328361,-0.03214627616574696,-0.054449120243131165,-0.018989951549901563,0.028967364525303185,0.049191593207165235,0.056455684319882245,0.12224065733141047,0.22497879045512853,0.14330503131568637,0.030323299200866544,-0.22176431056524126,-0.2785712851909263,0.10965271733273396,-0.12483999766093219,0.8038017277035439,0.03401950319942013,0.010024139162323796,1.0
