,count,mean,std,min,1%,5%,50%,95%,99%,max
cpu_percent,563.0,0.7504440497335702,1.8168974518424765,0.0,0.0,0.0,0.0,3.0,7.759999999999991,20.1
arm_mhz,563.0,1910.3019538188278,444.8204257369028,1500.0,1500.0,1500.0,1500.0,2400.0,2400.0,2400.0
core_mhz,563.0,686.9076376554174,202.64300427983025,500.0,500.0,500.0,500.0,910.0,910.0,910.0
h264_mhz,0.0,,,,,,,,,
isp_mhz,563.0,684.5612788632327,202.54696145361237,500.0,500.0,500.0,500.0,910.0,910.0,910.0
v3d_mhz,563.0,706.9804618117229,227.31868448301572,500.0,500.0,500.0,500.0,960.0,960.0,960.0
uart_mhz,563.0,43.96625222024867,0.18073984067827134,43.0,43.0,44.0,44.0,44.0,44.0,44.0
pwm_mhz,0.0,,,,,,,,,
emmc_mhz,563.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
pixel_mhz,0.0,,,,,,,,,
vec_mhz,0.0,,,,,,,,,
hdmi_mhz,563.0,648.0,0.0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
dpi_mhz,0.0,,,,,,,,,
arm_temp,563.0,62.253108348134994,1.2678350844676352,59.3,59.8,60.4,62.0,64.2,65.3,65.9
core_volt,563.0,0.7859756660746002,0.07296744431551733,0.72,0.72,0.72,0.72,0.8679,0.8679,0.8679
sdram_c_volt,563.0,0.5999999999999999,1.1112103285326942e-16,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_i_volt,563.0,0.5999999999999999,1.1112103285326942e-16,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sdram_p_volt,563.0,1.0999999999999999,2.2224206570653884e-16,1.1,1.1,1.1,1.1,1.1,1.1,1.1
3V7_WL_SW_A,563.0,0.003194740657193606,0.01309605529340659,0.0,0.0,0.0,0.0,0.04674704699999998,0.060878513399999994,0.06636324
3V3_SYS_A,563.0,0.06606162122557727,0.012734970914580033,0.05367615,0.054281226599999996,0.05757987,0.06148359,0.09368929,0.11822416399999999,0.139558
1V8_SYS_A,563.0,0.12755215044404972,0.005929307851858661,0.1200394,0.1210153,0.1219913,0.1268709,0.1317506,0.15763220599999997,0.1620044
DDR_VDD2_A,563.0,0.005883315133214921,0.010384201431631976,0.0,0.0,0.00195186,0.00487965,0.00878337,0.02234879699999998,0.1717637
DDR_VDDQ_A,563.0,3.047424511545293e-05,0.0007026888769234048,0.0,0.0,0.0,0.0,0.0,0.0,0.0166668
1V1_SYS_A,563.0,0.226396686678508,0.04655543266616082,0.2049453,0.2068972,0.2068972,0.2098249,0.36880399999999997,0.3806127,0.3923238
0V8_SW_A,563.0,0.35129492255772643,0.0451474828946874,0.3308403,0.332421258,0.3337681,0.3366958,0.4899169,0.4938206,0.5777506
VDD_CORE_A,563.0,1.2315786291296624,0.34408790271159584,0.9287199,0.93765,0.9465799,0.9912299,1.56275,1.6400837999999998,5.25977
3V3_DAC_A,563.0,0.00013164245115452933,6.60710689214996e-05,6.105e-05,6.105e-05,6.105e-05,0.0001221,0.00018315,0.0003663,0.0003663
3V3_ADC_A,563.0,0.0003857102131438721,9.656592090209565e-05,0.00018315,0.00018315,0.00018315,0.00042735,0.0004884,0.00054945,0.00067155
0V8_AON_A,563.0,0.005314711545293073,0.00037780862668618026,0.0046398,0.0047387010000000005,0.0047619,0.00531135,0.0059829,0.006105,0.006105
HDMI_A,563.0,0.011453760746003554,0.000265431901791044,0.0108669,0.0108669,0.0111111,0.0114774,0.0119658,0.0120879,0.01221
3V7_WL_SW_V,563.0,3.655423776198934,0.0357527830561901,3.536455,3.5955851599999997,3.618116,3.65245,3.6725876,3.799996,3.799996
3V3_SYS_V,563.0,3.310479801065719,0.005316467361501077,3.291474,3.295186,3.302609,3.310961,3.318385,3.322097,3.327664
