rail,idle_baseline_v,threshold_v,min_v,mean_v,std_v,p1_v,p99_v,undervoltage_samples,undervoltage_ratio_pct
BATT_V,0.008547,0.008291,0.002564,0.003349,0.000234,0.002564,0.003419,563,100.0
3V7_WL_SW_V,3.699776,3.588783,3.536455,3.655424,0.035753,3.595585,3.799996,5,0.888
1V8_SYS_V,1.799266,1.745288,1.787544,1.804459,0.013749,1.787544,1.821243,0,0.0
DDR_VDD2_V,1.106959,1.07375,1.100365,1.107161,0.003441,1.101464,1.113918,0,0.0
DDR_VDDQ_V,0.616117,0.597633,0.599633,0.605881,0.001692,0.599999,0.609157,0,0.0
3V3_SYS_V,3.310033,3.210732,3.291474,3.31048,0.005316,3.295186,3.322097,0,0.0
1V1_SYS_V,1.104028,1.070907,1.097068,1.101898,0.001694,1.098167,1.104761,0,0.0
0V8_SW_V,0.799999,0.775999,0.796702,0.80062,0.001219,0.797801,0.80293,0,0.0
3V3_DAC_V,3.302194,3.203128,3.295784,3.299558,0.00121,3.297616,3.302194,0,0.0
VDD_CORE_V,0.720439,0.698826,0.718558,0.786246,0.073789,0.719096,0.869792,0,0.0
3V3_ADC_V,3.304026,3.204905,3.299447,3.302446,0.000987,3.300363,3.304942,0,0.0
0V8_AON_V,0.79912,0.775147,0.796483,0.797274,0.000429,0.796776,0.798241,0,0.0
HDMI_V,5.0317,4.6,4.8441,5.036222,0.034002,4.912199,5.088489,0,0.0
EXT5V_V,5.0317,4.6,4.82802,5.03364,0.032467,4.926805,5.08396,0,0.0
