Time_Human,Time_Unix_ms,Current_A,Voltage_V,Temp_HW_C
14:33:59.200,1775763239200,1.26,5.07,78.3
14:34:10.087,1775763250087,1.25,5.07,79.4
14:34:19.374,1775763259374,1.26,5.07,79.4
14:34:28.353,1775763268353,1.29,5.08,80.4
14:34:38.154,1775763278154,1.17,5.08,80.5
14:34:46.101,1775763286101,1.15,5.07,80.9
14:34:54.757,1775763294757,1.19,5.09,80.8
14:35:02.994,1775763302994,1.17,5.09,81
14:35:13.753,1775763313753,1.21,5.08,80.8
14:35:22.638,1775763322638,1.17,5.09,81.2
14:35:31.532,1775763331532,1.16,5.093,81.2
14:35:42.299,1775763342299,1.15,5.09,81.2
14:35:50.405,1775763350405,1.16,5.09,81.2
14:35:58.882,1775763358882,1.09,5.09,81.1
14:36:07.814,1775763367814,1.13,5.08,81.1
14:36:16.428,1775763376428,1.15,5.08,81
14:36:26.456,1775763386456,1.16,5.07,81
14:36:37.433,1775763397433,1.24,5.08,81.1
14:36:46.301,1775763406301,1.13,5.07,81.4
14:36:55.831,1775763415831,1.09,5.087,81.8
14:37:03.186,1775763423186,1.13,5.09,81.8
14:37:10.714,1775763430714,1.14,5.09,81.7
14:37:20.566,1775763440566,1.19,5.09,82.3
14:37:33.158,1775763453158,1.12,5.09,82.5
14:37:41.633,1775763461633,1.10,5.08,82.2
14:37:50.257,1775763470257,1.18,5.09,82.5
14:37:58.381,1775763478381,1.17,5.098,82.4
14:38:08.130,1775763488130,1.07,5.09,82.7
14:38:18.966,1775763498966,1.15,5.08,82.8
14:38:29.205,1775763509205,1.17,5.09,82.9
14:38:36.934,1775763516934,1.12,5.09,82.9
14:38:48.573,1775763528573,1.16,5.09,82.6
