Time_Human,Time_Unix_ms,CPU_Load_1m,CPU_Freq_MHz,Core_0_%,Core_1_%,Core_2_%,Core_3_%,RAM_Used_%,Swap_Used_%,Disk_Write_MBps,Temp_C,Throttled
14:33:50.551,1775763230551,1.07,2400,0.0,100.0,100.0,0.0,3.2,0.0,0.0,80.4,0x0
14:33:51.056,1775763231056,1.07,2400,0.0,98.0,100.0,0.0,3.3,0.0,0.34,80.4,0x0
14:33:51.561,1775763231561,1.07,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,81.5,0x0
14:33:52.066,1775763232066,1.07,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.0,0x80008
14:33:52.571,1775763232571,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,80.4,0x80000
14:33:53.077,1775763233077,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,81.5,0x80000
14:33:53.582,1775763233582,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,81.0,0x80008
14:33:54.087,1775763234087,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,81.5,0x80000
14:33:54.592,1775763234592,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0x80008
14:33:55.097,1775763235097,1.14,2400,13.7,100.0,100.0,0.0,3.3,0.0,0.696,82.6,0x80000
14:33:55.602,1775763235602,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.201,81.5,0x80008
14:33:56.107,1775763236107,1.14,2400,0.0,98.0,100.0,0.0,3.3,0.0,0.077,82.6,0x80008
14:33:56.612,1775763236612,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0x80008
14:33:57.117,1775763237117,1.14,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.093,82.6,0x80008
14:33:57.623,1775763237623,1.21,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.0,0x80008
14:33:58.128,1775763238128,1.21,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0x80008
14:33:58.633,1775763238633,1.21,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0x80008
14:33:59.138,1775763239138,1.21,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0x80008
14:33:59.643,1775763239643,1.21,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0x80008
14:34:00.148,1775763240148,1.21,2400,11.3,100.0,100.0,0.0,3.3,0.0,0.634,82.6,0x80008
14:34:00.653,1775763240653,1.21,2400,0.0,100.0,100.0,1.9,3.3,0.0,0.217,81.5,0x80008
14:34:01.158,1775763241158,1.21,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.062,84.2,0x80008
14:34:01.664,1775763241664,1.21,2400,1.9,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0x80008
14:34:02.169,1775763242169,1.21,2400,60.4,98.2,100.0,16.4,3.3,0.0,0.294,83.2,0x80008
14:34:02.674,1775763242674,1.27,2400,2.2,100.0,100.0,0.0,3.3,0.0,0.186,84.2,0xe0008
14:34:03.179,1775763243179,1.27,2400,1.9,100.0,100.0,0.0,3.3,0.0,0.108,83.2,0xe0008
14:34:03.684,1775763243684,1.27,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0xe0008
14:34:04.189,1775763244189,1.27,2400,9.4,100.0,100.0,0.0,3.3,0.0,0.062,82.0,0xe0008
14:34:04.694,1775763244694,1.27,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.0,0xe0008
14:34:05.202,1775763245202,1.27,2400,9.3,100.0,100.0,0.0,3.3,0.0,0.646,84.2,0xe0006
14:34:05.707,1775763245707,1.27,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.201,83.2,0xe0008
14:34:06.212,1775763246212,1.27,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.062,84.2,0xe0006
14:34:06.717,1775763246717,1.27,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.077,81.5,0xe0008
14:34:07.223,1775763247223,1.27,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.093,84.2,0xe0008
14:34:07.728,1775763247728,1.33,2400,0.0,98.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:08.233,1775763248233,1.33,2400,0.0,100.0,100.0,1.8,3.3,0.0,0.062,82.6,0xe0008
14:34:08.738,1775763248738,1.33,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0008
14:34:09.243,1775763249243,1.33,2400,2.0,100.0,100.0,32.0,3.5,0.0,4.145,82.6,0xe0008
14:34:09.748,1775763249748,1.33,2400,0.0,100.0,100.0,0.0,3.5,0.0,0.108,84.8,0xe0008
14:34:10.253,1775763250253,1.33,2400,0.0,100.0,100.0,11.5,3.6,0.0,0.866,84.2,0xe0008
14:34:10.758,1775763250758,1.33,2400,11.5,100.0,100.0,11.8,3.3,0.0,0.402,84.2,0xe0008
14:34:11.263,1775763251263,1.33,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.108,84.2,0xe0008
14:34:11.769,1775763251769,1.33,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,84.2,0xe0008
14:34:12.274,1775763252274,1.33,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0xe0008
14:34:12.779,1775763252779,1.39,2400,0.0,98.0,100.0,0.0,3.3,0.0,0.062,84.2,0xe0008
14:34:13.284,1775763253284,1.39,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0000
14:34:13.789,1775763253789,1.39,2400,0.0,100.0,100.0,1.9,3.3,0.0,0.062,82.0,0xe0008
14:34:14.294,1775763254294,1.39,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.108,82.0,0xe0008
14:34:14.799,1775763254799,1.39,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:15.304,1775763255304,1.39,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0008
14:34:15.810,1775763255810,1.39,2400,9.6,100.0,100.0,0.0,3.3,0.0,0.742,84.2,0xe0008
14:34:16.315,1775763256315,1.39,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.201,83.7,0xe0008
14:34:16.820,1775763256820,1.39,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.077,83.2,0xe0008
14:34:17.325,1775763257325,1.39,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.093,83.2,0xe0008
14:34:17.830,1775763257830,1.44,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,84.8,0xe0006
14:34:18.335,1775763258335,1.44,2400,0.0,98.1,100.0,0.0,3.3,0.0,0.062,84.8,0xe0008
14:34:18.840,1775763258840,1.44,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:19.345,1775763259345,1.44,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0006
14:34:19.850,1775763259850,1.44,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:20.356,1775763260356,1.44,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0008
14:34:20.861,1775763260861,1.44,2400,20.8,100.0,100.0,0.0,3.3,0.0,1.083,85.3,0xe0008
14:34:21.366,1775763261366,1.44,2400,10.4,100.0,100.0,0.0,3.3,0.0,0.387,84.2,0xe0008
14:34:21.871,1775763261871,1.44,2400,1.9,100.0,100.0,0.0,3.3,0.0,0.093,82.6,0xe0008
14:34:22.376,1775763262376,1.44,2400,0.0,100.0,100.0,2.0,3.3,0.0,0.062,83.7,0xe0008
14:34:22.881,1775763262881,1.48,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,84.8,0xe0008
14:34:23.386,1775763263386,1.48,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.0,0xe0008
14:34:23.891,1775763263891,1.48,2400,0.0,98.1,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:24.397,1775763264397,1.48,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0006
14:34:24.902,1775763264902,1.48,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.093,82.6,0xe0008
14:34:25.407,1775763265407,1.48,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.093,84.8,0xe0008
14:34:25.912,1775763265912,1.48,2400,9.4,100.0,100.0,0.0,3.3,0.0,0.65,83.7,0xe0008
14:34:26.417,1775763266417,1.48,2400,2.1,100.0,100.0,0.0,3.3,0.0,0.201,84.2,0xe0008
14:34:26.922,1775763266922,1.48,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.108,82.6,0xe0008
14:34:27.427,1775763267427,1.48,2400,1.9,100.0,100.0,0.0,3.3,0.0,0.093,83.7,0xe0008
14:34:27.932,1775763267932,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,84.8,0xe0006
14:34:28.437,1775763268437,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:28.943,1775763268943,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.0,0xe0008
14:34:29.448,1775763269448,1.52,2400,1.9,98.1,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:29.953,1775763269953,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,3.588,82.0,0xe0008
14:34:30.458,1775763270458,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.077,83.7,0xe0008
14:34:30.963,1775763270963,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.433,84.8,0xe0006
14:34:31.468,1775763271468,1.52,2400,9.4,100.0,100.0,1.8,3.3,0.0,0.371,83.7,0xe0008
14:34:31.973,1775763271973,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.217,82.6,0xe0008
14:34:32.478,1775763272478,1.52,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0008
14:34:32.984,1775763272984,1.56,2400,2.0,100.0,100.0,0.0,3.3,0.0,0.062,84.2,0xe0008
14:34:33.489,1775763273489,1.56,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,84.8,0xe0008
14:34:33.994,1775763273994,1.56,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,84.2,0xe0008
14:34:34.499,1775763274499,1.56,2400,2.0,98.0,100.0,0.0,3.3,0.0,0.062,83.2,0xe0008
14:34:35.004,1775763275004,1.56,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0xe0008
14:34:35.509,1775763275509,1.56,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,83.7,0xe0008
14:34:36.014,1775763276014,1.56,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.062,82.6,0xe0008
14:34:36.519,1775763276519,1.56,2400,14.0,100.0,100.0,2.0,3.3,0.0,0.588,85.9,0xe0006
14:34:37.025,1775763277025,1.56,2400,10.0,100.0,100.0,0.0,3.3,0.0,0.201,82.6,0xe0008
14:34:37.530,1775763277530,1.56,2400,0.0,100.0,100.0,0.0,3.3,0.0,0.077,84.8,0xe0008
