Frecuencia,PSD
0.000000,104.004651
1953.125000,101.323332
3906.250000,99.921349
5859.375000,95.901052
7812.500000,90.342552
9765.625000,83.461099
11718.750000,81.780003
13671.875000,82.439923
15625.000000,79.977216
17578.125000,68.998249
19531.250000,43.851011
21484.375000,22.221891
23437.500000,15.504224
25390.625000,13.412079
27343.750000,11.443233
29296.875000,9.400016
31250.000000,8.355353
33203.125000,7.475826
35156.250000,6.212386
37109.375000,4.792253
39062.500000,5.581546
41015.625000,5.989511
42968.750000,3.252088
44921.875000,3.127691
46875.000000,3.245707
48828.125000,3.334582
50781.250000,3.310092
52734.375000,3.261190
54687.500000,3.291922
56640.625000,3.327963
58593.750000,2.693289
60546.875000,1.595403
62500.000000,1.317238
64453.125000,1.274643
66406.250000,1.151057
68359.375000,1.069549
70312.500000,1.017671
72265.625000,0.943937
74218.750000,0.862542
76171.875000,0.745281
78125.000000,0.620891
80078.125000,0.602602
82031.250000,0.530036
83984.375000,0.489306
85937.500000,0.472615
87890.625000,0.450498
89843.750000,0.426447
91796.875000,0.404082
93750.000000,0.390271
95703.125000,0.360912
97656.250000,0.332772
99609.375000,0.310740
101562.500000,0.302946
103515.625000,0.299355
105468.750000,0.276098
107421.875000,0.257612
109375.000000,0.240300
111328.125000,0.225898
113281.250000,0.207623
115234.375000,0.193234
117187.500000,0.175823
119140.625000,0.164112
121093.750000,0.169734
123046.875000,0.153922
125000.000000,0.145069
126953.125000,0.141698
128906.250000,0.138215
130859.375000,0.129239
132812.500000,0.124556
134765.625000,0.117627
136718.750000,0.111831
138671.875000,0.108852
140625.000000,0.104130
142578.125000,0.101483
144531.250000,0.098187
146484.375000,0.096285
148437.500000,0.093064
150390.625000,0.086958
152343.750000,0.082042
154296.875000,0.079428
156250.000000,0.075288
158203.125000,0.069544
160156.250000,0.076306
162109.375000,0.070672
164062.500000,0.065869
166015.625000,0.066318
167968.750000,0.066970
169921.875000,0.066061
171875.000000,0.060465
173828.125000,0.059771
175781.250000,0.058927
177734.375000,0.055643
179687.500000,0.053541
181640.625000,0.052948
183593.750000,0.051852
185546.875000,0.051389
187500.000000,0.051144
189453.125000,0.047842
191406.250000,0.046288
193359.375000,0.045125
195312.500000,0.043824
197265.625000,0.042182
199218.750000,0.043575
201171.875000,0.044979
203125.000000,0.041144
205078.125000,0.039208
207031.250000,0.038880
208984.375000,0.038958
210937.500000,0.038441
212890.625000,0.037999
214843.750000,0.036864
216796.875000,0.035870
218750.000000,0.034810
220703.125000,0.032902
222656.250000,0.033485
224609.375000,0.034504
226562.500000,0.033678
228515.625000,0.032647
230468.750000,0.031499
232421.875000,0.030946
234375.000000,0.029891
236328.125000,0.028825
238281.250000,0.027699
240234.375000,0.029088
242187.500000,0.028528
244140.625000,0.027122
246093.750000,0.027546
248046.875000,0.027588
250000.000000,0.027530
251953.125000,0.026044
253906.250000,0.025702
255859.375000,0.024834
257812.500000,0.024857
259765.625000,0.024350
261718.750000,0.023859
263671.875000,0.023276
265625.000000,0.024490
267578.125000,0.024603
269531.250000,0.022371
271484.375000,0.022735
273437.500000,0.022114
275390.625000,0.020808
277343.750000,0.020378
279296.875000,0.020295
281250.000000,0.020549
283203.125000,0.019849
285156.250000,0.019714
287109.375000,0.019828
289062.500000,0.019989
291015.625000,0.019100
292968.750000,0.018473
294921.875000,0.018115
296875.000000,0.018007
298828.125000,0.017555
300781.250000,0.016798
302734.375000,0.016318
304687.500000,0.016290
306640.625000,0.016644
308593.750000,0.016332
310546.875000,0.016158
312500.000000,0.016416
314453.125000,0.015941
316406.250000,0.015827
318359.375000,0.015513
320312.500000,0.015075
322265.625000,0.015506
324218.750000,0.015893
326171.875000,0.016917
328125.000000,0.019221
330078.125000,0.019768
332031.250000,0.025782
333984.375000,0.044571
335937.500000,0.070757
337890.625000,0.088385
339843.750000,0.073483
341796.875000,0.041180
343750.000000,0.021262
345703.125000,0.018100
347656.250000,0.018015
349609.375000,0.016355
351562.500000,0.014861
353515.625000,0.013388
355468.750000,0.012392
357421.875000,0.012417
359375.000000,0.012546
361328.125000,0.011812
363281.250000,0.011805
365234.375000,0.011518
367187.500000,0.011450
